category,num_tasks,AA_wechsel-robust-german-from-640k-en_avg,german-t5-base-nl36_avg,green-run-640k-english-source_avg,t5-base-original_avg
STEM,19,0.240960452245469,0.22637595035609556,0.24640134175161174,0.2201066675996999
Humanities,13,0.2544187012872922,0.25120634750109855,0.2560924750607777,0.2474995459475649
Social Sciences,20,0.22929329448795177,0.24414644155587198,0.24092830044864622,0.2332585760781988
Other/Medical,5,0.22904448327140595,0.23985738192484315,0.23311545740937226,0.2333218477445996
