,25k,30k,35k,40k,45k,47k,50k,52k,55k,57k,60k,62k,65k,67k,70k,90k,95k,100k,105k,110k,115k,117k,120k,122k,125k,127k,130k,132k,135k,137k,160k,165k,170k,175k,180k,182k,185k,187k,190k,192k,195k,197k,200k,202k,205k,207k,230k,235k,240k,245k,247k,250k,252k,255k,257k,260k,262k,265k,267k,270k,275k,277k,280k,282k,290k,295k,320k,325k,330k,335k,340k,345k,350k,352k,355k,357k,360k,362k,365k,367k,372k,377k,382k,390k,395k,400k,402k,405k,410k,415k,420k,425k,430k,432k,435k,447k,450k,455k,457k,460k,462k,465k,467k,470k,475k,480k,485k,490k,495k,497k,500k,505k,507k,510k,512k,517k,520k,530k,532k,535k,540k,545k,550k,552k,555k,560k,565k,570k,575k,577k,580k,582k,585k,587k,590k,592k,595k,600k,605k,610k,615k,620k,625k,630k,632k,635k,640k,645k,650k,655k,657k,660k,662k,665k,667k,670k,672k,675k,677k,AVG
MMLU OFFICIAL IMPROVEMENT,16.847321152059465,0.6193868070610126,1.734283059770823,0.34066274388355383,4.3047383090740095,9.166924744502937,1.9820377825952278,10.932177144626825,0.15484670176524407,7.215856302260762,7.959120470733966,16.97119851347166,16.2589036853515,9.012078042737691,17.06410653453082,11.768349334159177,10.932177144626825,14.431712604521524,11.396717249922581,10.498606379684098,7.277794982966858,12.914214927222043,11.861257355218338,9.848250232270045,0.49550944564881,-0.21678538247135137,2.5394859089501334,11.056054506039017,11.427686590275634,16.940229173118603,10.932177144626825,11.427686590275634,11.985134716630528,13.347785692164743,6.627438835552804,13.998141839578823,-0.21678538247135137,12.5735521833385,16.97119851347166,14.61752864663982,17.09507587488387,7.215856302260762,16.97119851347166,6.131929389903994,-0.1858160421183098,-0.2787240631774586,0.15484670176524407,-0.21678538247135137,-0.21678538247135137,2.632393930009282,10.126974295447503,15.17497677299474,4.80024775472282,7.215856302260762,-0.3096934035305123,17.002167853824712,6.9371322390833035,16.6924744502942,10.715391762155473,16.8782904924125,12.976153607928149,8.547537937441923,16.940229173118603,10.622483741096312,16.6924744502942,16.537627748528955,16.568597088882008,1.3626509755342153,-0.247754722824405,10.994115825332909,-0.4335707649427148,-0.09290802105914886,16.940229173118603,7.215856302260762,15.17497677299474,7.030040260142453,7.246825642613803,1.0529575720037152,-0.09290802105914886,8.91917002167853,10.932177144626825,7.153917621554655,10.90120780427377,8.98110870238464,7.463611025085168,-0.1858160421183098,7.89718179002787,6.317745432022291,6.224837410963143,10.003096934035312,8.082997832146168,5.450603902136885,1.79622174047693,-0.21678538247135137,7.246825642613803,8.91917002167853,16.847321152059465,17.002167853824712,10.096004955094449,10.343759677918854,16.630535769588118,-0.21678538247135137,6.627438835552804,0.030969340353053647,16.940229173118603,7.184886961907709,10.777330442861558,1.145865593062864,16.506658408175902,16.940229173118603,-0.09290802105914886,5.450603902136885,16.847321152059465,7.866212449674817,7.030040260142453,0.0,7.184886961907709,8.052028491793125,16.97119851347166,10.529575720037151,-0.09290802105914886,17.34283059770828,-0.34066274388355383,10.498606379684098,11.056054506039017,9.290802105915152,17.002167853824712,7.215856302260762,10.932177144626825,11.30380922886342,15.422731495819145,-0.21678538247135137,10.932177144626825,9.693403530504801,10.68442242180242,7.215856302260762,16.940229173118603,10.034066274388342,10.932177144626825,16.940229173118603,11.025085165685962,4.335707649427063,6.348714772375345,8.70238463920718,-0.030969340353053647,11.210901207804259,17.55961598017963,6.999070919789411,8.888200681325479,14.369773923815417,2.198823165066579,10.746361102508503,7.153917621554655,-0.21678538247135137,17.497677299473523,16.940229173118603,17.002167853824712,-0.21678538247135137,6.875193558377209,8.857426116697924
SIMPLE AVERAGE IMPROVEMENT,14.261745196737394,0.47862435442165124,1.2511299856148768,0.08340939703206117,2.8329716079610856,8.058218044408221,1.5932631515648132,8.46434817608355,0.3816349613072207,5.1815235422034,4.814532763684451,14.079015618920216,13.48896047323556,6.103275805867835,14.517730449172262,10.34113029262609,8.46434817608355,13.599854070943392,9.936462061814332,8.404844091180614,5.106021802042803,11.736707015120889,9.591504611973901,7.983015361183611,0.3463365694830964,-0.22503039912987843,2.118093155611221,8.511707996062938,10.823763430830569,14.336845419948835,8.46434817608355,8.371993409252221,9.768581482412248,11.442212345172493,4.238703562701079,10.887254409203951,-0.22503039912987843,9.288070550694545,14.348817733135796,12.315599797258889,14.373109850373849,5.172426879803697,14.357313250642049,5.54823481101972,-0.5889599576409092,-0.27604526535886154,-0.06879001441002619,-0.22503039912987843,-0.22503039912987843,2.5664134477071574,8.02553209328214,12.992370377178334,2.858690166951223,5.214970601296298,-0.2298674220577488,14.440043880566531,4.992368741202355,14.193071088129171,8.353275973493915,14.312732137584543,11.34762909234509,6.502623722050788,14.336845419948835,8.270565515198726,14.331944104262744,14.243043258458089,13.7522492892626,0.9914284643598835,-0.2379137814660819,8.518158898979863,0.06779910731099632,-0.07440420960593327,14.336845419948835,5.172426879803697,11.246770283415046,5.645535725603608,5.203613254634729,0.818160406886511,-0.09627354723666598,7.728942484044546,8.46434817608355,5.153946611723709,8.415506458438772,7.727933301261814,6.21583565945236,-0.1689256425061626,7.118682305262528,4.595376899838915,5.358097637033438,9.657641610650684,7.097608515325968,4.099757176119418,2.1107775517384546,-0.22503039912987843,5.180612068028647,6.497168473511137,14.377148551077221,14.481472923970347,9.255904960948671,7.995267093560643,14.344736872564443,-0.22503039912987843,4.578346748023446,0.08765909429647804,14.336845419948835,5.136835632495268,8.354650800312273,0.7650224628308688,13.947827481861868,14.336845419948835,-0.17660888437770014,3.5562856265869565,14.130732017174829,5.310983269894874,5.090977116375469,-0.08726338527470408,5.1582710181249185,5.906623772802494,14.35635667011219,10.067864714789465,-0.10328270313339735,14.431312162243737,-0.30338065701626205,7.866577775066234,8.542280920749988,7.56972045903362,14.419666083463689,5.176933343793777,8.46434817608355,9.235758716897061,13.373006810582721,-0.22503039912987843,8.46434817608355,6.295015717607666,8.152996389411662,5.172426879803697,14.336845419948835,7.77104443297378,8.46434817608355,14.336845419948835,9.206697779630524,3.8866351677230857,4.229330024808688,6.722892962379744,-0.16289812656946082,9.013101856232288,15.301380820397663,4.936598724617768,7.478858697150913,12.527063088869115,1.7179147467560698,8.274747561065224,5.832243284374533,-0.22503039912987843,14.520273531779615,14.336845419948835,14.404517022789053,-0.22503039912987843,4.886239875351984,7.194657938501751
"High School Statistics (Base: 0.157, +64.7%)",197.0588235294118,-2.9411764705882306,11.76470588235294,-2.9411764705882306,-11.76470588235294,35.29411764705882,-2.9411764705882306,35.29411764705882,-5.882352941176479,2.9411764705882306,8.82352941176471,199.99999999999994,188.23529411764704,29.411764705882344,202.94117647058823,114.70588235294117,35.29411764705882,155.88235294117646,111.76470588235293,29.411764705882344,0.0,170.58823529411762,67.64705882352942,41.17647058823528,2.9411764705882306,-2.9411764705882306,11.76470588235294,35.29411764705882,141.1764705882353,199.99999999999994,35.29411764705882,55.88235294117647,52.941176470588225,129.41176470588235,32.35294117647059,97.05882352941175,-2.9411764705882306,35.29411764705882,199.99999999999994,141.1764705882353,202.94117647058823,2.9411764705882306,197.0588235294118,20.58823529411765,-8.82352941176471,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,0.0,32.35294117647059,182.35294117647055,11.76470588235294,2.9411764705882306,-2.9411764705882306,199.99999999999994,2.9411764705882306,199.99999999999994,35.29411764705882,199.99999999999994,129.41176470588235,8.82352941176471,199.99999999999994,23.52941176470588,194.11764705882354,202.94117647058823,197.0588235294118,-11.76470588235294,-2.9411764705882306,38.23529411764705,-2.9411764705882306,-2.9411764705882306,199.99999999999994,2.9411764705882306,138.23529411764704,32.35294117647059,2.9411764705882306,-5.882352941176479,-2.9411764705882306,79.41176470588233,35.29411764705882,2.9411764705882306,35.29411764705882,32.35294117647059,44.11764705882353,-2.9411764705882306,147.05882352941174,76.47058823529413,-2.9411764705882306,85.29411764705883,14.705882352941172,2.9411764705882306,-5.882352941176479,-2.9411764705882306,2.9411764705882306,23.52941176470588,202.94117647058823,197.0588235294118,58.823529411764696,55.88235294117647,185.29411764705878,-2.9411764705882306,2.9411764705882306,0.0,199.99999999999994,2.9411764705882306,35.29411764705882,-29.41176470588236,182.35294117647055,199.99999999999994,-2.9411764705882306,0.0,199.99999999999994,14.705882352941172,2.9411764705882306,-2.9411764705882306,2.9411764705882306,17.647058823529402,199.99999999999994,108.82352941176472,-2.9411764705882306,199.99999999999994,-2.9411764705882306,29.411764705882344,35.29411764705882,23.52941176470588,199.99999999999994,2.9411764705882306,35.29411764705882,17.647058823529402,108.82352941176472,-2.9411764705882306,35.29411764705882,26.470588235294112,35.29411764705882,2.9411764705882306,199.99999999999994,47.05882352941176,35.29411764705882,199.99999999999994,85.29411764705883,14.705882352941172,-5.882352941176479,11.76470588235294,0.0,108.82352941176472,197.0588235294118,2.9411764705882306,52.941176470588225,126.47058823529409,23.52941176470588,35.29411764705882,8.82352941176471,-2.9411764705882306,208.82352941176472,199.99999999999994,199.99999999999994,-2.9411764705882306,8.82352941176471,64.68738438771734
"High School Chemistry (Base: 0.153, +63.2%)",80.64516129032256,9.677419354838698,3.225806451612899,19.354838709677413,6.451612903225798,96.7741935483871,0.0,93.5483870967742,0.0,77.41935483870968,100.0,93.5483870967742,83.87096774193546,80.64516129032256,80.64516129032256,93.5483870967742,93.5483870967742,106.4516129032258,93.5483870967742,93.5483870967742,64.51612903225808,67.74193548387098,83.87096774193546,80.64516129032256,0.0,0.0,16.129032258064512,93.5483870967742,61.29032258064515,83.87096774193546,93.5483870967742,87.09677419354837,103.2258064516129,67.74193548387098,77.41935483870968,80.64516129032256,0.0,116.1290322580645,83.87096774193546,83.87096774193546,83.87096774193546,77.41935483870968,83.87096774193546,41.935483870967744,-3.225806451612899,0.0,6.451612903225798,0.0,0.0,25.80645161290321,93.5483870967742,96.7741935483871,67.74193548387098,77.41935483870968,0.0,83.87096774193546,77.41935483870968,83.87096774193546,90.32258064516127,83.87096774193546,74.19354838709677,83.87096774193546,83.87096774193546,103.2258064516129,83.87096774193546,83.87096774193546,93.5483870967742,19.354838709677413,0.0,90.32258064516127,-3.225806451612899,-3.225806451612899,83.87096774193546,77.41935483870968,106.4516129032258,51.61290322580644,77.41935483870968,9.677419354838698,-6.451612903225816,54.83870967741934,93.5483870967742,77.41935483870968,93.5483870967742,93.5483870967742,77.41935483870968,0.0,58.06451612903226,12.903225806451616,61.29032258064515,93.5483870967742,58.06451612903226,58.06451612903226,38.709677419354826,0.0,77.41935483870968,80.64516129032256,80.64516129032256,87.09677419354837,83.87096774193546,77.41935483870968,70.96774193548387,0.0,74.19354838709677,6.451612903225798,83.87096774193546,77.41935483870968,103.2258064516129,25.80645161290321,70.96774193548387,83.87096774193546,-3.225806451612899,64.51612903225808,83.87096774193546,83.87096774193546,80.64516129032256,-3.225806451612899,77.41935483870968,80.64516129032256,83.87096774193546,80.64516129032256,0.0,83.87096774193546,0.0,83.87096774193546,103.2258064516129,100.0,83.87096774193546,77.41935483870968,93.5483870967742,87.09677419354837,87.09677419354837,0.0,93.5483870967742,74.19354838709677,90.32258064516127,77.41935483870968,83.87096774193546,80.64516129032256,93.5483870967742,83.87096774193546,61.29032258064515,16.129032258064512,54.83870967741934,96.7741935483871,9.677419354838698,93.5483870967742,80.64516129032256,77.41935483870968,58.06451612903226,74.19354838709677,9.677419354838698,93.5483870967742,64.51612903225808,0.0,87.09677419354837,83.87096774193546,83.87096774193546,0.0,112.9032258064516,63.21769121525664
"Management (Base: 0.175, +48.6%)",116.66666666666666,5.555555555555554,-5.555555555555554,-5.555555555555554,-11.111111111111121,100.0,5.555555555555554,11.111111111111107,5.555555555555554,44.444444444444436,55.55555555555555,105.55555555555556,100.0,44.444444444444436,116.66666666666666,100.0,11.111111111111107,122.22222222222221,94.44444444444444,33.33333333333333,44.444444444444436,77.77777777777776,49.99999999999999,49.99999999999999,0.0,0.0,5.555555555555554,11.111111111111107,111.11111111111111,116.66666666666666,11.111111111111107,11.111111111111107,33.33333333333333,127.77777777777777,-11.111111111111121,66.66666666666666,0.0,55.55555555555555,116.66666666666666,122.22222222222221,111.11111111111111,44.444444444444436,116.66666666666666,44.444444444444436,5.555555555555554,0.0,0.0,0.0,0.0,0.0,16.666666666666657,66.66666666666666,38.888888888888886,44.444444444444436,0.0,116.66666666666666,44.444444444444436,116.66666666666666,22.222222222222214,116.66666666666666,55.55555555555555,22.222222222222214,116.66666666666666,16.666666666666657,111.11111111111111,116.66666666666666,122.22222222222221,16.666666666666657,0.0,11.111111111111107,0.0,5.555555555555554,116.66666666666666,44.444444444444436,55.55555555555555,0.0,44.444444444444436,-5.555555555555554,0.0,94.44444444444444,11.111111111111107,44.444444444444436,11.111111111111107,27.77777777777778,55.55555555555555,0.0,33.33333333333333,11.111111111111107,44.444444444444436,100.0,77.77777777777776,22.222222222222214,0.0,0.0,44.444444444444436,44.444444444444436,116.66666666666666,116.66666666666666,77.77777777777776,77.77777777777776,100.0,0.0,27.77777777777778,0.0,116.66666666666666,44.444444444444436,16.666666666666657,11.111111111111107,116.66666666666666,116.66666666666666,0.0,11.111111111111107,122.22222222222221,55.55555555555555,49.99999999999999,-5.555555555555554,44.444444444444436,66.66666666666666,116.66666666666666,49.99999999999999,5.555555555555554,122.22222222222221,5.555555555555554,5.555555555555554,11.111111111111107,16.666666666666657,116.66666666666666,44.444444444444436,11.111111111111107,27.77777777777778,105.55555555555556,0.0,11.111111111111107,0.0,16.666666666666657,44.444444444444436,116.66666666666666,22.222222222222214,11.111111111111107,116.66666666666666,127.77777777777777,22.222222222222214,38.888888888888886,38.888888888888886,22.222222222222214,0.0,116.66666666666666,44.444444444444436,94.44444444444444,100.0,0.0,11.111111111111107,33.33333333333333,0.0,116.66666666666666,116.66666666666666,116.66666666666666,0.0,33.33333333333333,48.56743535988818
"Philosophy (Base: 0.170, +45.1%)",37.73584905660379,7.547169811320761,5.660377358490575,13.20754716981132,26.41509433962266,60.37735849056604,9.433962264150948,75.47169811320757,20.75471698113208,60.37735849056604,64.15094339622641,50.943396226415096,41.50943396226416,66.03773584905662,45.28301886792453,56.60377358490567,75.47169811320757,33.9622641509434,60.37735849056604,73.58490566037736,62.264150943396245,67.92452830188682,37.73584905660379,47.169811320754725,16.98113207547171,9.433962264150948,32.07547169811322,73.58490566037736,22.641509433962266,41.50943396226416,75.47169811320757,77.35849056603773,71.69811320754718,39.622641509433976,50.943396226415096,43.39622641509435,9.433962264150948,50.943396226415096,41.50943396226416,47.169811320754725,41.50943396226416,60.37735849056604,41.50943396226416,64.15094339622641,3.773584905660389,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,32.07547169811322,79.24528301886794,52.830188679245296,26.41509433962266,62.264150943396245,9.433962264150948,41.50943396226416,60.37735849056604,41.50943396226416,75.47169811320757,41.50943396226416,37.73584905660379,56.60377358490567,41.50943396226416,73.58490566037736,47.169811320754725,39.622641509433976,41.50943396226416,11.320754716981133,9.433962264150948,75.47169811320757,5.660377358490575,9.433962264150948,41.50943396226416,60.37735849056604,52.830188679245296,52.830188679245296,60.37735849056604,15.094339622641522,9.433962264150948,28.30188679245284,75.47169811320757,64.15094339622641,75.47169811320757,71.69811320754718,62.264150943396245,9.433962264150948,20.75471698113208,41.50943396226416,52.830188679245296,69.81132075471699,39.622641509433976,64.15094339622641,18.867924528301895,9.433962264150948,60.37735849056604,64.15094339622641,41.50943396226416,41.50943396226416,45.28301886792453,71.69811320754718,54.71698113207547,9.433962264150948,60.37735849056604,7.547169811320761,41.50943396226416,60.37735849056604,73.58490566037736,24.528301886792452,58.49056603773587,41.50943396226416,9.433962264150948,50.943396226415096,39.622641509433976,64.15094339622641,60.37735849056604,9.433962264150948,60.37735849056604,47.169811320754725,41.50943396226416,18.867924528301895,13.20754716981132,41.50943396226416,7.547169811320761,71.69811320754718,77.35849056603773,73.58490566037736,41.50943396226416,60.37735849056604,75.47169811320757,77.35849056603773,66.03773584905662,9.433962264150948,75.47169811320757,75.47169811320757,75.47169811320757,60.37735849056604,41.50943396226416,64.15094339622641,75.47169811320757,41.50943396226416,67.92452830188682,32.07547169811322,64.15094339622641,50.943396226415096,9.433962264150948,69.81132075471699,43.39622641509435,60.37735849056604,73.58490566037736,47.169811320754725,18.867924528301895,75.47169811320757,50.943396226415096,9.433962264150948,45.28301886792453,41.50943396226416,43.39622641509435,9.433962264150948,56.60377358490567,45.11688619912188
"High School Geography (Base: 0.177, +43.5%)",100.0,2.85714285714286,2.85714285714286,0.0,40.00000000000001,57.14285714285715,25.714285714285705,42.85714285714287,5.71428571428572,22.85714285714286,28.571428571428566,77.14285714285715,105.71428571428572,5.71428571428572,97.14285714285715,34.285714285714285,42.85714285714287,82.85714285714288,105.71428571428572,40.00000000000001,25.714285714285705,54.28571428571427,77.14285714285715,20.000000000000004,0.0,0.0,14.285714285714283,42.85714285714287,88.57142857142856,100.0,42.85714285714287,40.00000000000001,80.0,80.0,22.85714285714286,88.57142857142856,0.0,17.142857142857142,100.0,80.0,100.0,22.85714285714286,100.0,8.571428571428562,-2.85714285714286,-2.85714285714286,0.0,0.0,0.0,5.71428571428572,42.85714285714287,71.42857142857143,25.714285714285705,22.85714285714286,2.85714285714286,100.0,22.85714285714286,100.0,45.714285714285715,100.0,91.42857142857143,45.714285714285715,100.0,17.142857142857142,97.14285714285715,94.28571428571428,97.14285714285715,14.285714285714283,0.0,42.85714285714287,0.0,0.0,100.0,22.85714285714286,102.85714285714285,20.000000000000004,22.85714285714286,2.85714285714286,0.0,68.57142857142856,42.85714285714287,22.85714285714286,42.85714285714287,34.285714285714285,31.428571428571427,0.0,40.00000000000001,20.000000000000004,20.000000000000004,42.85714285714287,17.142857142857142,25.714285714285705,0.0,0.0,22.85714285714286,20.000000000000004,91.42857142857143,100.0,22.85714285714286,62.85714285714287,105.71428571428572,0.0,14.285714285714283,0.0,100.0,22.85714285714286,42.85714285714287,-5.71428571428572,100.0,100.0,0.0,17.142857142857142,105.71428571428572,11.428571428571423,20.000000000000004,2.85714285714286,22.85714285714286,31.428571428571427,100.0,45.714285714285715,0.0,97.14285714285715,0.0,51.42857142857144,42.85714285714287,62.85714285714287,100.0,25.714285714285705,42.85714285714287,45.714285714285715,102.85714285714285,0.0,42.85714285714287,25.714285714285705,42.85714285714287,22.85714285714286,100.0,48.57142857142859,42.85714285714287,100.0,68.57142857142856,-2.85714285714286,25.714285714285705,20.000000000000004,0.0,60.0,100.0,22.85714285714286,48.57142857142859,111.42857142857143,-8.571428571428562,42.85714285714287,14.285714285714283,0.0,105.71428571428572,100.0,97.14285714285715,0.0,17.142857142857142,43.50404312668464
"Professional Medicine (Base: 0.184, +41.8%)",144.0,0.0,-12.000000000000002,5.999999999999994,0.0,17.999999999999993,0.0,-10.000000000000009,0.0,9.999999999999993,9.999999999999993,141.99999999999997,145.99999999999997,-8.000000000000002,144.0,103.99999999999999,-10.000000000000009,94.0,79.99999999999999,-10.000000000000009,11.999999999999988,129.99999999999997,34.0,7.999999999999987,0.0,0.0,3.9999999999999853,-10.000000000000009,79.99999999999999,144.0,-10.000000000000009,1.9999999999999927,25.999999999999996,97.99999999999997,-10.000000000000009,111.99999999999999,0.0,1.9999999999999927,144.0,139.99999999999997,144.0,9.999999999999993,144.0,-18.00000000000001,0.0,0.0,0.0,0.0,0.0,3.9999999999999853,-10.000000000000009,144.0,5.999999999999994,9.999999999999993,0.0,144.0,9.999999999999993,144.0,-10.000000000000009,144.0,105.99999999999999,7.999999999999987,144.0,-6.000000000000009,144.0,144.0,144.0,-4.000000000000001,0.0,-10.000000000000009,0.0,0.0,144.0,9.999999999999993,100.0,9.999999999999993,9.999999999999993,-8.000000000000002,0.0,1.9999999999999927,-10.000000000000009,9.999999999999993,-10.000000000000009,-6.000000000000009,13.999999999999996,0.0,85.99999999999999,30.0,25.999999999999996,7.999999999999987,-22.00000000000001,9.999999999999993,0.0,0.0,9.999999999999993,11.999999999999988,144.0,141.99999999999997,60.0,9.999999999999993,105.99999999999999,0.0,7.999999999999987,0.0,144.0,9.999999999999993,-10.000000000000009,0.0,141.99999999999997,144.0,0.0,7.999999999999987,144.0,21.999999999999993,9.999999999999993,0.0,9.999999999999993,17.999999999999993,144.0,109.99999999999999,0.0,144.0,0.0,-10.000000000000009,-10.000000000000009,-8.000000000000002,144.0,9.999999999999993,-10.000000000000009,5.999999999999994,92.0,0.0,-10.000000000000009,-16.000000000000004,-10.000000000000009,9.999999999999993,144.0,7.999999999999987,-10.000000000000009,144.0,-8.000000000000002,39.99999999999997,9.999999999999993,15.999999999999986,0.0,113.99999999999999,144.0,9.999999999999993,43.999999999999986,123.99999999999997,0.0,-10.000000000000009,11.999999999999988,0.0,145.99999999999997,144.0,144.0,0.0,11.999999999999988,41.77358490566038
"High School Biology (Base: 0.181, +39.2%)",75.0,-3.571428571428566,8.928571428571438,0.0,16.071428571428584,62.499999999999986,1.7857142857142905,39.28571428571428,-5.357142857142856,41.07142857142857,41.07142857142857,67.85714285714286,64.28571428571428,44.64285714285715,71.42857142857144,53.57142857142857,39.28571428571428,64.28571428571428,69.64285714285715,39.28571428571428,42.85714285714286,69.64285714285715,57.14285714285715,42.85714285714286,-1.785714285714275,-1.785714285714275,17.857142857142858,41.07142857142857,50.00000000000002,75.0,39.28571428571428,33.928571428571445,17.857142857142858,73.21428571428574,32.14285714285715,73.21428571428574,-1.785714285714275,39.28571428571428,75.0,57.14285714285715,75.0,41.07142857142857,75.0,28.571428571428587,-3.571428571428566,-1.785714285714275,1.7857142857142905,-1.785714285714275,-1.785714285714275,12.500000000000004,37.50000000000001,42.85714285714286,17.857142857142858,41.07142857142857,-3.571428571428566,75.0,41.07142857142857,75.0,41.07142857142857,75.0,57.14285714285715,50.00000000000002,75.0,37.50000000000001,71.42857142857144,67.85714285714286,75.0,7.142857142857147,-3.571428571428566,39.28571428571428,-1.785714285714275,0.0,75.0,41.07142857142857,64.28571428571428,30.35714285714286,41.07142857142857,8.928571428571438,-1.785714285714275,58.928571428571445,39.28571428571428,39.28571428571428,39.28571428571428,44.64285714285715,35.714285714285715,-1.785714285714275,51.78571428571428,28.571428571428587,39.28571428571428,37.50000000000001,28.571428571428587,39.28571428571428,-7.142857142857132,-1.785714285714275,41.07142857142857,41.07142857142857,75.0,75.0,46.428571428571445,60.71428571428573,78.57142857142858,-1.785714285714275,39.28571428571428,-3.571428571428566,75.0,41.07142857142857,41.07142857142857,1.7857142857142905,69.64285714285715,75.0,-1.785714285714275,39.28571428571428,69.64285714285715,23.21428571428573,44.64285714285715,-1.785714285714275,41.07142857142857,58.928571428571445,75.0,33.928571428571445,-1.785714285714275,73.21428571428574,3.571428571428581,37.50000000000001,39.28571428571428,48.21428571428573,75.0,41.07142857142857,39.28571428571428,55.35714285714286,53.57142857142857,-1.785714285714275,39.28571428571428,42.85714285714286,32.14285714285715,41.07142857142857,75.0,28.571428571428587,39.28571428571428,75.0,48.21428571428573,16.071428571428584,35.714285714285715,30.35714285714286,-1.785714285714275,53.57142857142857,75.0,39.28571428571428,44.64285714285715,62.499999999999986,7.142857142857147,39.28571428571428,44.64285714285715,-1.785714285714275,75.0,75.0,75.0,-1.785714285714275,41.07142857142857,39.16217430368375
"Astronomy (Base: 0.184, +38.0%)",82.14285714285715,0.0,7.142857142857151,-7.142857142857135,25.000000000000007,25.000000000000007,0.0,64.28571428571429,3.571428571428583,0.0,-3.5714285714285676,85.71428571428574,75.00000000000001,50.00000000000002,82.14285714285715,21.428571428571434,64.28571428571429,57.14285714285716,71.42857142857143,75.00000000000001,10.714285714285717,71.42857142857143,39.285714285714306,25.000000000000007,0.0,-3.5714285714285676,-7.142857142857135,64.28571428571429,78.5714285714286,82.14285714285715,64.28571428571429,67.85714285714288,82.14285714285715,85.71428571428574,35.71428571428572,57.14285714285716,-3.5714285714285676,35.71428571428572,82.14285714285715,64.28571428571429,82.14285714285715,0.0,82.14285714285715,60.71428571428571,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,14.285714285714285,57.14285714285716,82.14285714285715,25.000000000000007,0.0,10.714285714285717,82.14285714285715,-3.5714285714285676,82.14285714285715,57.14285714285716,82.14285714285715,39.285714285714306,14.285714285714285,82.14285714285715,53.57142857142857,82.14285714285715,82.14285714285715,64.28571428571429,7.142857142857151,-3.5714285714285676,67.85714285714288,-3.5714285714285676,-3.5714285714285676,82.14285714285715,0.0,96.42857142857146,53.57142857142857,0.0,17.85714285714287,3.571428571428583,35.71428571428572,64.28571428571429,0.0,64.28571428571429,50.00000000000002,10.714285714285717,-3.5714285714285676,57.14285714285716,3.571428571428583,17.85714285714287,67.85714285714288,10.714285714285717,21.428571428571434,3.571428571428583,-3.5714285714285676,3.571428571428583,25.000000000000007,82.14285714285715,82.14285714285715,0.0,42.857142857142854,82.14285714285715,-3.5714285714285676,0.0,0.0,82.14285714285715,0.0,64.28571428571429,17.85714285714287,82.14285714285715,82.14285714285715,-3.5714285714285676,-7.142857142857135,82.14285714285715,21.428571428571434,0.0,0.0,0.0,3.571428571428583,82.14285714285715,92.85714285714286,-3.5714285714285676,89.28571428571428,3.571428571428583,64.28571428571429,64.28571428571429,39.285714285714306,82.14285714285715,0.0,64.28571428571429,42.857142857142854,85.71428571428574,-3.5714285714285676,64.28571428571429,60.71428571428571,64.28571428571429,0.0,82.14285714285715,39.285714285714306,64.28571428571429,82.14285714285715,53.57142857142857,-3.5714285714285676,-3.5714285714285676,7.142857142857151,-3.5714285714285676,25.000000000000007,89.28571428571428,0.0,53.57142857142857,89.28571428571428,-10.714285714285703,64.28571428571429,-7.142857142857135,-3.5714285714285676,82.14285714285715,82.14285714285715,82.14285714285715,-3.5714285714285676,0.0,37.96046720575024
