Subject,Clean Restart Improvement (%),Clean Restart Improvement Baseline,Clean Restart Improvement Trained,Green Run Improvement (%),Green Run Improvement Baseline,Green Run Improvement Trained
Mmlu Overall,17.35614307931572,0.22895598917533114,0.26869391824526423,0,0,0
Stem Average,33.58098068350669,0.2134475103076435,0.2851252775134792,0,0,0
Humanities Average,0.5300353356890466,0.2405951115834219,0.24187035069075452,0,0,0
Social Sciences Average,43.32833583208396,0.216769580760481,0.31069223269418267,0,0,0
Other Average,4.979811574697166,0.23913743160605086,0.2510460251046025,0,0,0
