,627k,650k,662k,665k,675k,AVG
"High School Statistics Stderr (Base: 0.028, +0.2%)",-2.9354787217275935,23.566878488715343,-12.070730546303459,1.3334761032051505,-8.794112468937511,0.2200065709903857
"High School Mathematics Stderr (Base: 0.026, +0.2%)",1.0190507172536045,1.961548280910309,-5.483433079614987,1.4950184521241598,1.9615482809103222,0.1907465303166817
"Professional Law Stderr (Base: 0.011, +0.2%)",0.07376930994601852,-0.6333700181449686,-0.10118178824742269,2.9445708107094997,-1.3603166843019856,0.1846943259922283
"International Law Stderr (Base: 0.039, +0.1%)",7.892304554051918,-19.220575373180353,-0.767818763246649,12.34989688407579,0.37855711367620287,0.12647288307538201
"World Religions (Base: 0.257, +0.1%)",11.450980392156868,-31.76470588235294,25.09803921568628,13.725490196078438,-18.117647058823525,0.0784313725490243
"High School Microeconomics Stderr (Base: 0.028, +0.0%)",-3.910143686089894,12.413511036733466,-4.623241286783067,-2.529821568430581,-1.20853889882466,0.028353119321052844
"Professional Accounting Stderr (Base: 0.026, +0.0%)",-1.6111982938386529,-1.1104540187056893,-0.6189943684197318,2.5721470425545845,0.8010220418906974,0.006504480696241566
"Moral Scenarios Stderr (Base: 0.014, +-0.1%)",-0.3353740171902094,2.9201388954105307,-1.5769214187696792,-0.3353740171902094,-0.9488162656985117,-0.055269364687615806
"World Religions Stderr (Base: 0.033, +-0.1%)",4.488572804118505,-12.10563647921275,7.944664601144978,5.115928110918898,-5.787402760913727,-0.06877474478881922
"Marketing Stderr (Base: 0.028, +-0.1%)",2.4896088180082283,-8.173222015637876,3.9771990625753935,0.8931670781211938,0.33594278050238086,-0.0954608552861358
"Moral Scenarios (Base: 0.250, +-0.2%)",-1.1414468610211292,9.146999845750429,-4.7200370198981885,-1.1414468610211292,-2.930741940459659,-0.15733456732993556
"Miscellaneous (Base: 0.257, +-0.2%)",10.755266312724789,-20.53433807158759,-7.621168008220576,4.795341668093851,11.748587086829938,-0.17126220243191775
"Miscellaneous Stderr (Base: 0.016, +-0.2%)",3.461835781386619,-7.564722426033856,-2.438746257727429,1.7121833800797608,3.739008672419307,-0.2180881699751195
"High School Macroeconomics (Base: 0.239, +-0.2%)",-24.898261191268976,52.34924158342579,-9.877913429522767,-10.950795412504647,-7.732149463559031,-0.22197558268592665
"Professional Accounting (Base: 0.250, +-0.3%)",-5.0806057645334395,-3.6638983878846934,-2.247191011235937,7.669760625305348,2.002931118710322,-0.26380068392767997
"Marketing (Base: 0.252, +-0.3%)",6.842105263157886,-21.98830409356726,11.929824561403505,1.7543859649122684,0.0584795321637364,-0.28070175438597234
"Public Relations Stderr (Base: 0.042, +-0.3%)",2.7860990746677623,-3.281794422429841,-4.680093054130666,-6.1461035524322725,9.745522304127176,-0.31527393003956805
"High School Government And Politics Stderr (Base: 0.031, +-0.4%)",-2.2975363179492723,13.22302334516442,-6.63517120373549,-1.4979814782354415,-4.829715221251204,-0.4074761752013977
"College Chemistry Stderr (Base: 0.042, +-0.4%)",-7.115076435796072,18.91043927938076,-3.2920804282845086,-9.183333613014721,-1.5251694169122143,-0.4410441229253513
"High School Government And Politics (Base: 0.246, +-0.5%)",-9.309090909090905,49.74545454545456,-19.854545454545445,-7.199999999999987,-15.636363636363631,-0.45090909090908227
"Virology Stderr (Base: 0.034, +-0.5%)",4.978658262861769,-9.736034469016307,3.0883125227081103,-7.654987361180088,6.675374819272145,-0.529735245070874
"High School European History Stderr (Base: 0.033, +-0.6%)",-2.4062299287915008,1.9279874639802155,-7.483955144559941,4.9225035956407375,0.27698104386598194,-0.5525425939729013
"Prehistory Stderr (Base: 0.024, +-0.7%)",-0.5161796660845642,-4.01461768073012,-4.962228709734258,4.589082230696855,1.448238936308404,-0.6911409779087366
"Machine Learning Stderr (Base: 0.041, +-0.7%)",1.2354261441747938,-15.122095390108523,7.1208117270166325,-1.147919279631626,4.4033544996315745,-0.7020844597834298
"Medical Genetics Stderr (Base: 0.044, +-0.7%)",-1.4419032270238796,-1.4419032270238956,5.75223112348621,-7.691884945935214,1.2237506520255916,-0.7199419248942375
"Computer Security Stderr (Base: 0.044, +-0.8%)",1.0572761749819852,-11.48676101163681,3.4451940045053884,4.5425833787899235,-1.6039937197492724,-0.8091402346217572
"High School Macroeconomics Stderr (Base: 0.021, +-0.8%)",-9.388191489407857,13.61372575301625,-2.9353382111159765,-3.35730700178991,-2.108088977435392,-0.8350399853465771
"High School Us History Stderr (Base: 0.030, +-1.0%)",-0.9729103181304082,1.0214487395287837,-5.455277295827772,2.2663218081358423,-1.6729421247107807,-0.9626718382008669
"Machine Learning (Base: 0.254, +-1.0%)",1.8159806295399685,-36.80387409200968,22.881355932203398,-5.205811138014519,12.348668280871673,-0.9927360774818308
"College Biology Stderr (Base: 0.036, +-1.0%)",-3.793434170753107,1.991843773045123,0.20371892165885938,0.20371892165885938,-3.7934341707530876,-1.0375173450286705
"Public Relations (Base: 0.257, +-1.1%)",5.9683313032886645,-11.693057247259443,-15.225334957369066,-18.75761266747869,34.22655298416565,-1.096224116930577
"Human Sexuality Stderr (Base: 0.038, +-1.1%)",-5.653243925046423,5.000945437564167,-0.8690501299094625,-1.994661068563857,-1.994661068563857,-1.1021341509038867
"Virology (Base: 0.263, +-1.1%)",14.443567482241546,-26.756116811365416,7.576953433307053,-22.17837411207576,21.310181531176017,-1.1207576953433118
"High School World History Stderr (Base: 0.028, +-1.2%)",4.1251240112262835,-7.485619767847293,-5.39822542151725,1.6957074525189866,1.1748553343463755,-1.1776316782545795
"High School European History (Base: 0.242, +-1.3%)",-7.340241796200331,5.1813471502590716,-19.86183074265975,15.198618307426623,0.17271157167532,-1.329879101899813
"Jurisprudence Stderr (Base: 0.042, +-1.8%)",-5.574879735372279,-5.574879735372247,1.0737025022948132,-4.113066563946473,5.316386844030462,-1.7745473376731447
"Management Stderr (Base: 0.041, +-2.0%)",-17.559787323881242,16.681599210577275,-8.646372375351076,-4.844449448697721,4.498996245379065,-1.97400273839474
"Computer Security (Base: 0.255, +-2.0%)",1.8918918918919134,-29.459459459459445,9.72972972972976,13.648648648648662,-5.945945945945933,-2.0270270270270094
"Prehistory (Base: 0.256, +-2.2%)",-2.409638554216857,-12.048192771084327,-14.457831325301196,14.457831325301226,3.6144578313253177,-2.168674698795167
"Business Ethics Stderr (Base: 0.043, +-2.4%)",-1.9250083796613797,-5.076838988873518,-5.076838988873518,-1.9250083796613475,2.223685101055342,-2.3560019272028843
"Conceptual Physics Stderr (Base: 0.028, +-2.6%)",-8.440764270573329,-6.255272058668651,1.6977248725578,-7.6960695214685915,7.943799136876822,-2.55011636825519
"High School Us History (Base: 0.248, +-2.6%)",-3.003412969283282,2.9351535836177316,-14.880546075085332,6.8941979522184225,-4.982935153583627,-2.6075085324232172
"Medical Genetics (Base: 0.255, +-2.7%)",-5.818673883626525,-5.818673883626525,17.726657645466844,-21.515561569688764,2.0297699594046046,-2.6792963464140733
"Management (Base: 0.234, +-2.8%)",-41.833810888252145,62.034383954154734,-25.21489971346704,-16.905444126074496,8.022922636103157,-2.779369627507158
"High School World History (Base: 0.254, +-3.0%)",12.943871706758303,-20.274914089347078,-15.292096219931267,4.63917525773195,2.9782359679267016,-3.0011454753722786
"College Biology (Base: 0.250, +-3.1%)",-10.940499040307115,5.7581573896353095,0.19193857965450103,0.19193857965450103,-10.940499040307115,-3.1477927063339837
"Human Sexuality (Base: 0.245, +-3.4%)",-15.8968850698174,15.252416756176162,-3.4371643394199785,-6.552094522019339,-6.552094522019339,-3.4371643394199785
"Human Aging Stderr (Base: 0.029, +-3.8%)",-3.410652384322828,-28.228282656875763,7.477093782128966,-7.052559072621259,12.219472310203153,-3.7989856042975463
"Jurisprudence (Base: 0.253, +-4.9%)",-15.889029003783103,-15.889029003783103,2.395964691046649,-12.232030264817158,17.023959646910455,-4.918032786885251
"Conceptual Physics (Base: 0.255, +-6.7%)",-23.37736932797243,-18.380241240666287,3.273980470993677,-21.711659965537045,26.59391154508904,-6.720275703618609
"Business Ethics (Base: 0.247, +-7.7%)",-6.843575418994412,-14.944134078212295,-14.944134078212295,-6.843575418994412,5.307262569832403,-7.653631284916202
"Human Aging (Base: 0.266, +-7.9%)",-15.648632926119838,-59.51134380453752,18.09191390343223,-24.083769633507856,41.71029668411866,-7.888307155322863
