run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
flan_t5,best,292000,1362.68,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,step,295000,,0.23942,0.25186,0.22994,0.22684,0.24268
flan_t5,best,297000,1362.02,0.22903,0.24251,0.21154,0.21514,0.2401
flan_t5,step,310000,,0.24427,0.2474,0.22613,0.24082,0.26135
flan_t5,step,315000,,0.24989,0.2678,0.25722,0.23432,0.23077
flan_t5,step,320000,,0.23715,0.24208,0.22518,0.23562,0.24332
flan_t5,best,322000,136.23,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,step,325000,,0.26933,0.24378,0.28227,0.31199,0.25266
flan_t5,best,327000,1362.31,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,best,330000,1362.11,0.25602,0.27014,0.26451,0.24017,0.24171
flan_t5,best,332000,136.22,0.2526,0.27014,0.25404,0.23562,0.24139
flan_t5,best,335000,136.23,0.24662,0.24506,0.23914,0.23432,0.26875
flan_t5,best,337000,1362.02,0.25203,0.25356,0.2458,0.24569,0.26231
flan_t5,step,340000,,0.23594,0.24782,0.22391,0.21644,0.24944
flan_t5,best,342000,1362.08,0.25438,0.26844,0.26102,0.23529,0.24525
flan_t5,step,345000,,0.25025,0.24506,0.25246,0.23757,0.26843
flan_t5,best,347000,1361.96,0.23002,0.24187,0.2144,0.21677,0.24107
flan_t5,best,350000,1361.97,0.23423,0.24633,0.22328,0.22197,0.23914
flan_t5,best,352000,1361.96,0.24491,0.2457,0.23279,0.23399,0.26682
flan_t5,step,355000,,0.25837,0.23932,0.26166,0.28957,0.25298
flan_t5,best,360000,1362.27,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,step,365000,,0.24028,0.2491,0.23279,0.23464,0.2401
flan_t5,step,370000,,0.24633,0.24782,0.25024,0.23432,0.25201
flan_t5,step,375000,,0.25509,0.2712,0.26261,0.23789,0.2401
flan_t5,best,377000,1362.27,0.23131,0.23528,0.2255,0.22684,0.2356
flan_t5,best,380000,1362.14,0.22938,0.24187,0.21218,0.21709,0.2401
