,280k,290k,125k,285k,130k,350k,155k,330k,325k,340k,140k,120k,260k,335k,420k,295k,390k,425k,145k,150k,435k,265k,270k,370k,255k,430k,415k,275k,360k,300k,310k,315k,110k,380k,305k,160k,320k,135k,115k,AVG
High School Us History (Avg: 0.252),0.24509803921568626,0.25,0.24509803921568626,0.23039215686274508,0.19607843137254902,0.28431372549019607,0.22549019607843138,0.2549019607843137,0.23529411764705882,0.2647058823529412,0.19607843137254902,0.25980392156862747,0.25980392156862747,0.28431372549019607,0.25,0.23529411764705882,0.2647058823529412,0.23529411764705882,0.27941176470588236,0.25,0.23529411764705882,0.28921568627450983,0.23039215686274508,0.24509803921568626,0.27450980392156865,0.24019607843137256,0.28431372549019607,0.24509803921568626,0.2549019607843137,0.25980392156862747,0.30392156862745096,0.17647058823529413,0.2549019607843137,0.24019607843137256,0.23039215686274508,0.2696078431372549,0.24509803921568626,0.25,0.3333333333333333,0.2515082956259426
College Biology (Avg: 0.250),0.25,0.2361111111111111,0.22916666666666666,0.2708333333333333,0.24305555555555555,0.25,0.25,0.2708333333333333,0.2569444444444444,0.2569444444444444,0.24305555555555555,0.2569444444444444,0.2847222222222222,0.2638888888888889,0.2361111111111111,0.22916666666666666,0.2569444444444444,0.24305555555555555,0.2569444444444444,0.25,0.2152777777777778,0.2638888888888889,0.25,0.2777777777777778,0.2916666666666667,0.24305555555555555,0.20833333333333334,0.2708333333333333,0.20833333333333334,0.2152777777777778,0.2569444444444444,0.24305555555555555,0.25,0.1875,0.2361111111111111,0.2708333333333333,0.2777777777777778,0.2916666666666667,0.25,0.2498219373219373
Human Sexuality (Avg: 0.250),0.25190839694656486,0.2748091603053435,0.24427480916030533,0.22900763358778625,0.25190839694656486,0.2824427480916031,0.25190839694656486,0.2824427480916031,0.2366412213740458,0.2366412213740458,0.26717557251908397,0.21374045801526717,0.26717557251908397,0.26717557251908397,0.26717557251908397,0.25190839694656486,0.2595419847328244,0.2595419847328244,0.25190839694656486,0.20610687022900764,0.2595419847328244,0.2595419847328244,0.22137404580152673,0.2366412213740458,0.25190839694656486,0.2366412213740458,0.26717557251908397,0.22900763358778625,0.26717557251908397,0.2366412213740458,0.2366412213740458,0.2824427480916031,0.25190839694656486,0.20610687022900764,0.25190839694656486,0.2595419847328244,0.24427480916030533,0.26717557251908397,0.22137404580152673,0.24975533372479938
Professional Law (Avg: 0.249),0.2516297262059974,0.25097783572359844,0.2529335071707953,0.2529335071707953,0.242503259452412,0.2379400260756193,0.25097783572359844,0.2522816166883963,0.2470664928292047,0.24315514993481094,0.2438070404172099,0.2503259452411995,0.2405475880052151,0.24511082138200782,0.2516297262059974,0.26010430247718386,0.23533246414602346,0.23989569752281617,0.25488917861799215,0.2529335071707953,0.24641460234680573,0.23598435462842243,0.2392438070404172,0.24771838331160365,0.25684485006518903,0.2522816166883963,0.24641460234680573,0.24641460234680573,0.2522816166883963,0.24771838331160365,0.2607561929595828,0.23859191655801826,0.2470664928292047,0.26140808344198174,0.24119947848761408,0.2392438070404172,0.258148631029987,0.2646675358539765,0.26010430247718386,0.2487045766054893
High School European History (Avg: 0.248),0.22424242424242424,0.23030303030303031,0.19393939393939394,0.23636363636363636,0.20606060606060606,0.2606060606060606,0.2,0.24242424242424243,0.23030303030303031,0.22424242424242424,0.21212121212121213,0.296969696969697,0.21818181818181817,0.2606060606060606,0.21818181818181817,0.24242424242424243,0.24242424242424243,0.20606060606060606,0.2909090909090909,0.23636363636363636,0.23636363636363636,0.24242424242424243,0.24242424242424243,0.23636363636363636,0.26666666666666666,0.23636363636363636,0.2727272727272727,0.2545454545454545,0.296969696969697,0.2787878787878788,0.23030303030303031,0.23636363636363636,0.296969696969697,0.2606060606060606,0.24848484848484848,0.26666666666666666,0.3212121212121212,0.28484848484848485,0.2787878787878788,0.2477078477078477
Global Facts (Avg: 0.246),0.16,0.17,0.18,0.27,0.24,0.19,0.26,0.2,0.2,0.19,0.17,0.18,0.25,0.22,0.18,0.28,0.18,0.28,0.2,0.23,0.3,0.24,0.23,0.32,0.32,0.25,0.23,0.3,0.25,0.21,0.31,0.34,0.33,0.28,0.38,0.3,0.32,0.16,0.29,0.2458974358974359
Prehistory (Avg: 0.245),0.2191358024691358,0.2345679012345679,0.20987654320987653,0.22530864197530864,0.21604938271604937,0.24074074074074073,0.24074074074074073,0.20679012345679013,0.2777777777777778,0.23148148148148148,0.22839506172839505,0.20679012345679013,0.22530864197530864,0.2345679012345679,0.23148148148148148,0.29012345679012347,0.24382716049382716,0.24382716049382716,0.20987654320987653,0.2222222222222222,0.2654320987654321,0.22530864197530864,0.25,0.22839506172839505,0.25308641975308643,0.27469135802469136,0.25308641975308643,0.25925925925925924,0.2716049382716049,0.2777777777777778,0.28703703703703703,0.20987654320987653,0.2623456790123457,0.2993827160493827,0.28703703703703703,0.23148148148148148,0.28703703703703703,0.2222222222222222,0.25925925925925924,0.24469768914213352
Econometrics (Avg: 0.244),0.22807017543859648,0.24561403508771928,0.2543859649122807,0.23684210526315788,0.22807017543859648,0.24561403508771928,0.24561403508771928,0.22807017543859648,0.22807017543859648,0.21052631578947367,0.2543859649122807,0.2631578947368421,0.22807017543859648,0.22807017543859648,0.2543859649122807,0.23684210526315788,0.21929824561403508,0.2543859649122807,0.2543859649122807,0.2631578947368421,0.24561403508771928,0.24561403508771928,0.2631578947368421,0.2543859649122807,0.24561403508771928,0.2543859649122807,0.2631578947368421,0.2543859649122807,0.22807017543859648,0.30701754385964913,0.22807017543859648,0.23684210526315788,0.21929824561403508,0.2631578947368421,0.22807017543859648,0.2543859649122807,0.2543859649122807,0.2631578947368421,0.20175438596491227,0.2440395861448493
Sociology (Avg: 0.243),0.23880597014925373,0.23383084577114427,0.23880597014925373,0.2537313432835821,0.22388059701492538,0.27860696517412936,0.21393034825870647,0.23383084577114427,0.23383084577114427,0.23880597014925373,0.24875621890547264,0.24875621890547264,0.263681592039801,0.24378109452736318,0.23880597014925373,0.27860696517412936,0.22388059701492538,0.23383084577114427,0.2537313432835821,0.2537313432835821,0.25870646766169153,0.24378109452736318,0.24378109452736318,0.2537313432835821,0.22885572139303484,0.25870646766169153,0.24378109452736318,0.22885572139303484,0.24875621890547264,0.2835820895522388,0.23383084577114427,0.19402985074626866,0.23383084577114427,0.24378109452736318,0.26865671641791045,0.21890547263681592,0.25870646766169153,0.22885572139303484,0.24378109452736318,0.24339839265212404
College Computer Science (Avg: 0.243),0.22,0.26,0.25,0.27,0.23,0.24,0.26,0.3,0.26,0.24,0.23,0.25,0.22,0.26,0.2,0.25,0.24,0.22,0.24,0.28,0.18,0.29,0.27,0.25,0.25,0.18,0.24,0.25,0.35,0.2,0.24,0.21,0.25,0.24,0.15,0.28,0.22,0.29,0.23,0.24333333333333335
Moral Scenarios (Avg: 0.241),0.23798882681564246,0.23910614525139665,0.24022346368715083,0.23798882681564246,0.24022346368715083,0.22346368715083798,0.2446927374301676,0.24134078212290502,0.25251396648044694,0.24134078212290502,0.23798882681564246,0.25139664804469275,0.2324022346368715,0.2446927374301676,0.24581005586592178,0.23910614525139665,0.2435754189944134,0.23910614525139665,0.22905027932960895,0.23687150837988827,0.2346368715083799,0.23910614525139665,0.23687150837988827,0.2446927374301676,0.2335195530726257,0.23687150837988827,0.2324022346368715,0.2346368715083799,0.2424581005586592,0.23798882681564246,0.23687150837988827,0.25251396648044694,0.24581005586592178,0.2569832402234637,0.2446927374301676,0.2424581005586592,0.24581005586592178,0.24692737430167597,0.24692737430167597,0.24079644750035806
Professional Accounting (Avg: 0.239),0.22695035460992907,0.20921985815602837,0.23049645390070922,0.2127659574468085,0.24822695035460993,0.24113475177304963,0.24468085106382978,0.2198581560283688,0.2127659574468085,0.23049645390070922,0.20212765957446807,0.2624113475177305,0.25177304964539005,0.23049645390070922,0.24822695035460993,0.21631205673758866,0.25177304964539005,0.2198581560283688,0.2730496453900709,0.24468085106382978,0.2553191489361702,0.22695035460992907,0.22340425531914893,0.25177304964539005,0.2553191489361702,0.2375886524822695,0.24468085106382978,0.25886524822695034,0.24822695035460993,0.23404255319148937,0.2198581560283688,0.2730496453900709,0.25177304964539005,0.2198581560283688,0.25177304964539005,0.24468085106382978,0.23404255319148937,0.24822695035460993,0.2765957446808511,0.23931623931623933
Anatomy (Avg: 0.237),0.1925925925925926,0.2074074074074074,0.18518518518518517,0.2222222222222222,0.2,0.26666666666666666,0.23703703703703705,0.2222222222222222,0.28888888888888886,0.22962962962962963,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.22962962962962963,0.1925925925925926,0.24444444444444444,0.23703703703703705,0.26666666666666666,0.18518518518518517,0.24444444444444444,0.22962962962962963,0.28888888888888886,0.2074074074074074,0.2074074074074074,0.25925925925925924,0.2222222222222222,0.24444444444444444,0.2222222222222222,0.2740740740740741,0.2222222222222222,0.3037037037037037,0.22962962962962963,0.26666666666666666,0.23703703703703705,0.25925925925925924,0.2518518518518518,0.2740740740740741,0.25925925925925924,0.28888888888888886,0.23665716999050332
High School Mathematics (Avg: 0.237),0.21851851851851853,0.2037037037037037,0.24074074074074073,0.23333333333333334,0.2518518518518518,0.22592592592592592,0.23333333333333334,0.21851851851851853,0.2518518518518518,0.18518518518518517,0.24074074074074073,0.27037037037037037,0.18518518518518517,0.24444444444444444,0.24814814814814815,0.24074074074074073,0.22962962962962963,0.23703703703703705,0.24444444444444444,0.2777777777777778,0.2111111111111111,0.2222222222222222,0.18888888888888888,0.24074074074074073,0.21851851851851853,0.27037037037037037,0.21481481481481482,0.22592592592592592,0.21851851851851853,0.21481481481481482,0.25555555555555554,0.2814814814814815,0.25925925925925924,0.24814814814814815,0.26666666666666666,0.24814814814814815,0.2740740740740741,0.22592592592592592,0.25925925925925924,0.23656220322886995
Conceptual Physics (Avg: 0.234),0.2425531914893617,0.2553191489361702,0.25957446808510637,0.251063829787234,0.25957446808510637,0.24680851063829787,0.1829787234042553,0.24680851063829787,0.2297872340425532,0.2723404255319149,0.2680851063829787,0.19148936170212766,0.2425531914893617,0.2425531914893617,0.24680851063829787,0.225531914893617,0.2553191489361702,0.23404255319148937,0.251063829787234,0.22127659574468084,0.25957446808510637,0.23829787234042554,0.2425531914893617,0.23829787234042554,0.2170212765957447,0.225531914893617,0.23404255319148937,0.2297872340425532,0.2297872340425532,0.2127659574468085,0.20851063829787234,0.251063829787234,0.20425531914893616,0.251063829787234,0.2170212765957447,0.2170212765957447,0.2,0.22127659574468084,0.2170212765957447,0.2343698854337152
Abstract Algebra (Avg: 0.234),0.24,0.25,0.22,0.22,0.24,0.17,0.24,0.22,0.29,0.21,0.22,0.22,0.18,0.23,0.2,0.22,0.18,0.2,0.23,0.23,0.19,0.23,0.22,0.22,0.22,0.22,0.23,0.26,0.26,0.22,0.26,0.27,0.25,0.25,0.25,0.26,0.28,0.31,0.33,0.23435897435897438
Logical Fallacies (Avg: 0.233),0.22085889570552147,0.2085889570552147,0.22085889570552147,0.2147239263803681,0.22085889570552147,0.2392638036809816,0.26380368098159507,0.22085889570552147,0.19631901840490798,0.22085889570552147,0.2331288343558282,0.25766871165644173,0.26380368098159507,0.19631901840490798,0.1901840490797546,0.17177914110429449,0.24539877300613497,0.2331288343558282,0.20245398773006135,0.24539877300613497,0.2822085889570552,0.22085889570552147,0.2392638036809816,0.17177914110429449,0.2392638036809816,0.2331288343558282,0.2085889570552147,0.25766871165644173,0.2147239263803681,0.26380368098159507,0.2331288343558282,0.19631901840490798,0.25153374233128833,0.27607361963190186,0.2331288343558282,0.24539877300613497,0.26380368098159507,0.34355828220858897,0.25766871165644173,0.23328614126160138
Elementary Mathematics (Avg: 0.231),0.21428571428571427,0.20899470899470898,0.20899470899470898,0.21693121693121692,0.21957671957671956,0.2222222222222222,0.23544973544973544,0.21957671957671956,0.21428571428571427,0.2222222222222222,0.21957671957671956,0.21164021164021163,0.19047619047619047,0.2328042328042328,0.22486772486772486,0.21957671957671956,0.22486772486772486,0.2328042328042328,0.2328042328042328,0.2328042328042328,0.2275132275132275,0.2566137566137566,0.19576719576719576,0.25132275132275134,0.23809523809523808,0.24338624338624337,0.22486772486772486,0.20899470899470898,0.21428571428571427,0.25132275132275134,0.25132275132275134,0.25132275132275134,0.25132275132275134,0.2724867724867725,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.23544973544973544,0.2671957671957672,0.23097273097273102
Security Studies (Avg: 0.228),0.21224489795918366,0.22448979591836735,0.20408163265306123,0.27346938775510204,0.19591836734693877,0.17551020408163265,0.2163265306122449,0.24081632653061225,0.21224489795918366,0.18775510204081633,0.19591836734693877,0.19183673469387755,0.2,0.21224489795918366,0.20816326530612245,0.30612244897959184,0.2163265306122449,0.19591836734693877,0.20816326530612245,0.2,0.22448979591836735,0.34285714285714286,0.27755102040816326,0.23673469387755103,0.1836734693877551,0.2163265306122449,0.2530612244897959,0.27755102040816326,0.1836734693877551,0.24489795918367346,0.2857142857142857,0.20816326530612245,0.20408163265306123,0.24897959183673468,0.2612244897959184,0.27755102040816326,0.27755102040816326,0.15918367346938775,0.24897959183673468,0.2279434850863422
Nutrition (Avg: 0.227),0.2222222222222222,0.19934640522875818,0.21895424836601307,0.22549019607843138,0.19607843137254902,0.21568627450980393,0.21895424836601307,0.2222222222222222,0.23529411764705882,0.238562091503268,0.238562091503268,0.21895424836601307,0.22875816993464052,0.21568627450980393,0.22549019607843138,0.23202614379084968,0.17973856209150327,0.20588235294117646,0.20588235294117646,0.23529411764705882,0.2222222222222222,0.19281045751633988,0.28104575163398693,0.24183006535947713,0.2222222222222222,0.2222222222222222,0.21241830065359477,0.22875816993464052,0.2222222222222222,0.2679738562091503,0.2581699346405229,0.24183006535947713,0.23529411764705882,0.20588235294117646,0.21568627450980393,0.2549019607843137,0.23202614379084968,0.25163398692810457,0.24836601307189543,0.2265795206971677
Public Relations (Avg: 0.224),0.20909090909090908,0.2,0.20909090909090908,0.18181818181818182,0.2545454545454545,0.23636363636363636,0.2,0.20909090909090908,0.22727272727272727,0.2545454545454545,0.20909090909090908,0.2,0.2,0.22727272727272727,0.2,0.24545454545454545,0.2909090909090909,0.2545454545454545,0.15454545454545454,0.14545454545454545,0.2636363636363636,0.2,0.19090909090909092,0.3090909090909091,0.19090909090909092,0.2545454545454545,0.2,0.2545454545454545,0.2545454545454545,0.2,0.2,0.3,0.22727272727272727,0.18181818181818182,0.3181818181818182,0.2545454545454545,0.21818181818181817,0.19090909090909092,0.2,0.22354312354312356
