Model,Steps,Macro_F1,Relative_Change
T5-Base,0,0.4505548902857761,0.0
50k,50,0.4556715807822993,1.1356419843268815
105k,105,0.4504464485348725,-0.02406848826673477
130k,130,0.449056147442036,-0.33264378570822173
405k-0olap,405,0.41429108526588154,-8.048698571863977
435k-Ada,435,0.3136941078309675,-30.37605082213204
487k-Gold,487,0.3546722240752031,-21.28101775784898
