,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,55k,60k,65k,70k,75k,80k,85k,90k,95k,100k,105k,110k,115k,120k,125k,130k,135k,140k,145k,150k,155k,160k,165k,170k,175k,180k,205k,210k,215k,220k,225k,230k,AVG
Prehistory (Avg: 0.233),0.2191358024691358,0.21604938271604937,0.21604938271604937,0.21604938271604937,0.21604938271604937,0.2222222222222222,0.21604938271604937,0.2191358024691358,0.23148148148148148,0.21604938271604937,0.2654320987654321,0.2716049382716049,0.22530864197530864,0.25308641975308643,0.19753086419753085,0.2345679012345679,0.24382716049382716,0.2191358024691358,0.25308641975308643,0.25308641975308643,0.24691358024691357,0.25925925925925924,0.25617283950617287,0.25925925925925924,0.2191358024691358,0.22530864197530864,0.24382716049382716,0.24382716049382716,0.2222222222222222,0.2037037037037037,0.24382716049382716,0.23148148148148148,0.22839506172839505,0.23765432098765432,0.25308641975308643,0.2345679012345679,0.24074074074074073,0.24074074074074073,0.2006172839506173,0.24382716049382716,0.21604938271604937,0.2222222222222222,0.2328042328042328
Nutrition (Avg: 0.233),0.22549019607843138,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.21241830065359477,0.23202614379084968,0.22549019607843138,0.23202614379084968,0.238562091503268,0.23529411764705882,0.23202614379084968,0.23529411764705882,0.22549019607843138,0.26143790849673204,0.24509803921568626,0.22875816993464052,0.21568627450980393,0.22875816993464052,0.23529411764705882,0.238562091503268,0.23202614379084968,0.24509803921568626,0.2549019607843137,0.238562091503268,0.23529411764705882,0.23202614379084968,0.23202614379084968,0.22549019607843138,0.22549019607843138,0.238562091503268,0.23529411764705882,0.2581699346405229,0.26143790849673204,0.19934640522875818,0.22549019607843138,0.2222222222222222,0.26143790849673204,0.24183006535947713,0.20915032679738563,0.23272642390289447
High School Computer Science (Avg: 0.233),0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.23,0.27,0.24,0.19,0.22,0.26,0.26,0.25,0.24,0.22,0.22,0.24,0.2,0.19,0.18,0.16,0.19,0.19,0.18,0.18,0.21,0.26,0.25,0.23,0.23,0.24,0.28,0.27,0.26,0.27,0.25,0.24,0.19,0.27,0.24,0.23261904761904756
High School Microeconomics (Avg: 0.232),0.21008403361344538,0.21008403361344538,0.21008403361344538,0.21008403361344538,0.21428571428571427,0.20588235294117646,0.2184873949579832,0.22268907563025211,0.2647058823529412,0.21008403361344538,0.23949579831932774,0.226890756302521,0.21428571428571427,0.21428571428571427,0.27310924369747897,0.20588235294117646,0.2647058823529412,0.2184873949579832,0.22268907563025211,0.23529411764705882,0.2184873949579832,0.23109243697478993,0.31932773109243695,0.25210084033613445,0.23529411764705882,0.22268907563025211,0.31092436974789917,0.23109243697478993,0.20588235294117646,0.23949579831932774,0.24369747899159663,0.20168067226890757,0.21008403361344538,0.24789915966386555,0.23109243697478993,0.2184873949579832,0.226890756302521,0.21008403361344538,0.22268907563025211,0.29411764705882354,0.2605042016806723,0.226890756302521,0.23219287715086032
Electrical Engineering (Avg: 0.232),0.23448275862068965,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2482758620689655,0.23448275862068965,0.25517241379310346,0.2413793103448276,0.2413793103448276,0.27586206896551724,0.20689655172413793,0.25517241379310346,0.2,0.23448275862068965,0.2482758620689655,0.2413793103448276,0.2413793103448276,0.23448275862068965,0.23448275862068965,0.18620689655172415,0.18620689655172415,0.22758620689655173,0.22758620689655173,0.2482758620689655,0.22758620689655173,0.22758620689655173,0.19310344827586207,0.1724137931034483,0.22758620689655173,0.21379310344827587,0.2206896551724138,0.2413793103448276,0.23448275862068965,0.2413793103448276,0.20689655172413793,0.27586206896551724,0.2689655172413793,0.2689655172413793,0.2620689655172414,0.1724137931034483,0.21379310344827587,0.23185550082101805
College Physics (Avg: 0.232),0.21568627450980393,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.22549019607843138,0.21568627450980393,0.21568627450980393,0.22549019607843138,0.21568627450980393,0.29411764705882354,0.24509803921568626,0.3137254901960784,0.28431372549019607,0.27450980392156865,0.2647058823529412,0.22549019607843138,0.16666666666666666,0.1568627450980392,0.20588235294117646,0.23529411764705882,0.16666666666666666,0.29411764705882354,0.3235294117647059,0.22549019607843138,0.16666666666666666,0.2549019607843137,0.21568627450980393,0.2549019607843137,0.22549019607843138,0.2549019607843137,0.18627450980392157,0.17647058823529413,0.20588235294117646,0.18627450980392157,0.2549019607843137,0.30392156862745096,0.3235294117647059,0.21568627450980393,0.23155929038281978
Clinical Knowledge (Avg: 0.231),0.21132075471698114,0.21509433962264152,0.21509433962264152,0.21509433962264152,0.21509433962264152,0.21132075471698114,0.22264150943396227,0.2,0.21509433962264152,0.21509433962264152,0.23018867924528302,0.28679245283018867,0.2188679245283019,0.2792452830188679,0.22264150943396227,0.18490566037735848,0.23773584905660378,0.20754716981132076,0.24528301886792453,0.20754716981132076,0.2339622641509434,0.2679245283018868,0.2981132075471698,0.20754716981132076,0.2528301886792453,0.2188679245283019,0.21132075471698114,0.21509433962264152,0.23773584905660378,0.2528301886792453,0.18867924528301888,0.25660377358490566,0.23773584905660378,0.23018867924528302,0.24528301886792453,0.2490566037735849,0.2490566037735849,0.2,0.2037735849056604,0.27547169811320754,0.25660377358490566,0.2679245283018868,0.231266846361186
College Mathematics (Avg: 0.231),0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.23,0.21,0.24,0.23,0.25,0.33,0.24,0.21,0.23,0.24,0.23,0.24,0.23,0.26,0.27,0.24,0.29,0.22,0.24,0.27,0.25,0.22,0.26,0.23,0.24,0.17,0.23,0.22,0.21,0.18,0.24,0.19,0.24,0.25,0.23119047619047617
High School Macroeconomics (Avg: 0.230),0.20256410256410257,0.20256410256410257,0.20256410256410257,0.20256410256410257,0.20512820512820512,0.2128205128205128,0.20256410256410257,0.2282051282051282,0.20512820512820512,0.20256410256410257,0.24102564102564103,0.21794871794871795,0.22564102564102564,0.2564102564102564,0.2358974358974359,0.22564102564102564,0.17692307692307693,0.2153846153846154,0.21794871794871795,0.24871794871794872,0.24871794871794872,0.20512820512820512,0.2923076923076923,0.2282051282051282,0.2564102564102564,0.23846153846153847,0.24358974358974358,0.2230769230769231,0.23076923076923078,0.23076923076923078,0.24102564102564103,0.21794871794871795,0.23076923076923078,0.22564102564102564,0.2230769230769231,0.21025641025641026,0.24615384615384617,0.23076923076923078,0.22564102564102564,0.3128205128205128,0.3230769230769231,0.2512820512820513,0.23009768009768017
College Biology (Avg: 0.230),0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.25,0.24305555555555555,0.2222222222222222,0.2569444444444444,0.25,0.19444444444444445,0.2152777777777778,0.2222222222222222,0.2569444444444444,0.2361111111111111,0.2222222222222222,0.19444444444444445,0.22916666666666666,0.2569444444444444,0.2013888888888889,0.1875,0.22916666666666666,0.2569444444444444,0.24305555555555555,0.24305555555555555,0.24305555555555555,0.2361111111111111,0.1527777777777778,0.18055555555555555,0.22916666666666666,0.1736111111111111,0.2569444444444444,0.1736111111111111,0.2152777777777778,0.2013888888888889,0.22916666666666666,0.2222222222222222,0.24305555555555555,0.2638888888888889,0.25,0.2361111111111111,0.2569444444444444,0.22999338624338628
High School Mathematics (Avg: 0.230),0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2037037037037037,0.2074074074074074,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2074074074074074,0.24814814814814815,0.26666666666666666,0.24814814814814815,0.2037037037037037,0.2222222222222222,0.23333333333333334,0.22962962962962963,0.21851851851851853,0.24074074074074073,0.25555555555555554,0.24444444444444444,0.26296296296296295,0.21481481481481482,0.2518518518518518,0.23703703703703705,0.24444444444444444,0.2777777777777778,0.2222222222222222,0.2037037037037037,0.2222222222222222,0.24814814814814815,0.21851851851851853,0.22592592592592592,0.2518518518518518,0.24074074074074073,0.24444444444444444,0.24074074074074073,0.23703703703703705,0.25555555555555554,0.22954144620811293
High School European History (Avg: 0.229),0.20606060606060606,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.20606060606060606,0.20606060606060606,0.20606060606060606,0.17575757575757575,0.20606060606060606,0.21212121212121213,0.22424242424242424,0.22424242424242424,0.18787878787878787,0.20606060606060606,0.18787878787878787,0.24242424242424243,0.2,0.24242424242424243,0.2545454545454545,0.2787878787878788,0.26666666666666666,0.21818181818181817,0.22424242424242424,0.2545454545454545,0.23030303030303031,0.28484848484848485,0.22424242424242424,0.23030303030303031,0.22424242424242424,0.2606060606060606,0.23636363636363636,0.23636363636363636,0.20606060606060606,0.23030303030303031,0.2606060606060606,0.2606060606060606,0.2606060606060606,0.26666666666666666,0.22424242424242424,0.21212121212121213,0.24242424242424243,0.22424242424242424,0.22857142857142856
International Law (Avg: 0.228),0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.24793388429752067,0.19008264462809918,0.2396694214876033,0.15702479338842976,0.24793388429752067,0.21487603305785125,0.23140495867768596,0.23140495867768596,0.2066115702479339,0.23140495867768596,0.24793388429752067,0.2727272727272727,0.15702479338842976,0.23140495867768596,0.23140495867768596,0.23140495867768596,0.2066115702479339,0.2066115702479339,0.19008264462809918,0.2396694214876033,0.2396694214876033,0.24793388429752067,0.23140495867768596,0.2396694214876033,0.256198347107438,0.256198347107438,0.2231404958677686,0.19834710743801653,0.23140495867768596,0.2396694214876033,0.18181818181818182,0.2396694214876033,0.22845336481700118
Logical Fallacies (Avg: 0.228),0.22085889570552147,0.22699386503067484,0.22085889570552147,0.22085889570552147,0.22085889570552147,0.22085889570552147,0.22699386503067484,0.2331288343558282,0.2147239263803681,0.22085889570552147,0.2822085889570552,0.2822085889570552,0.2147239263803681,0.2331288343558282,0.24539877300613497,0.24539877300613497,0.2331288343558282,0.2147239263803681,0.25766871165644173,0.2392638036809816,0.26993865030674846,0.2085889570552147,0.22699386503067484,0.22699386503067484,0.22699386503067484,0.22085889570552147,0.2085889570552147,0.24539877300613497,0.2331288343558282,0.2147239263803681,0.2085889570552147,0.2085889570552147,0.2147239263803681,0.22699386503067484,0.2392638036809816,0.22085889570552147,0.19631901840490798,0.19631901840490798,0.2331288343558282,0.2085889570552147,0.2085889570552147,0.2392638036809816,0.22757814782354663
Philosophy (Avg: 0.226),0.18006430868167203,0.18006430868167203,0.1864951768488746,0.1864951768488746,0.1864951768488746,0.1864951768488746,0.19614147909967847,0.22508038585209003,0.19614147909967847,0.1832797427652733,0.26688102893890675,0.2572347266881029,0.19292604501607716,0.2572347266881029,0.21221864951768488,0.2090032154340836,0.21543408360128619,0.20257234726688103,0.2765273311897106,0.2347266881028939,0.2604501607717042,0.2733118971061093,0.2540192926045016,0.21864951768488747,0.2282958199356913,0.19935691318327975,0.22186495176848875,0.2508038585209003,0.26688102893890675,0.24758842443729903,0.19292604501607716,0.2379421221864952,0.24437299035369775,0.20257234726688103,0.2604501607717042,0.2282958199356913,0.24115755627009647,0.2347266881028939,0.20257234726688103,0.27009646302250806,0.2829581993569132,0.2315112540192926,0.2257694074414332
High School Biology (Avg: 0.225),0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1935483870967742,0.2,0.1774193548387097,0.20967741935483872,0.22903225806451613,0.18064516129032257,0.25161290322580643,0.21935483870967742,0.23870967741935484,0.21935483870967742,0.19032258064516128,0.22258064516129034,0.22258064516129034,0.23548387096774193,0.24193548387096775,0.2709677419354839,0.267741935483871,0.2838709677419355,0.22580645161290322,0.25806451612903225,0.23870967741935484,0.26129032258064516,0.2806451612903226,0.22258064516129034,0.21935483870967742,0.25161290322580643,0.24516129032258063,0.2870967741935484,0.26129032258064516,0.24516129032258063,0.22903225806451613,0.21935483870967742,0.23870967741935484,0.23870967741935484,0.24516129032258063,0.22534562211981568
College Medicine (Avg: 0.221),0.20809248554913296,0.20809248554913296,0.20809248554913296,0.20809248554913296,0.20809248554913296,0.19653179190751446,0.21965317919075145,0.2023121387283237,0.21965317919075145,0.2023121387283237,0.2254335260115607,0.2254335260115607,0.2254335260115607,0.23121387283236994,0.24855491329479767,0.1907514450867052,0.2023121387283237,0.20809248554913296,0.20809248554913296,0.2138728323699422,0.20809248554913296,0.21965317919075145,0.26011560693641617,0.2254335260115607,0.2543352601156069,0.21965317919075145,0.23699421965317918,0.1907514450867052,0.21965317919075145,0.23699421965317918,0.2138728323699422,0.24855491329479767,0.23699421965317918,0.2138728323699422,0.24855491329479767,0.20809248554913296,0.2254335260115607,0.2254335260115607,0.2023121387283237,0.27167630057803466,0.23121387283236994,0.24277456647398843,0.2214423341590972
High School Government And Politics (Avg: 0.221),0.19689119170984457,0.19689119170984457,0.19689119170984457,0.19689119170984457,0.19689119170984457,0.19689119170984457,0.20207253886010362,0.21243523316062177,0.20725388601036268,0.19689119170984457,0.23834196891191708,0.18134715025906736,0.19689119170984457,0.26424870466321243,0.22797927461139897,0.21243523316062177,0.23834196891191708,0.20207253886010362,0.21761658031088082,0.26424870466321243,0.2538860103626943,0.26424870466321243,0.32124352331606215,0.19689119170984457,0.24352331606217617,0.19170984455958548,0.23834196891191708,0.21243523316062177,0.23316062176165803,0.26424870466321243,0.20207253886010362,0.18134715025906736,0.21243523316062177,0.20207253886010362,0.24352331606217617,0.22279792746113988,0.20207253886010362,0.23316062176165803,0.17616580310880828,0.3160621761658031,0.23834196891191708,0.20207253886010362,0.2213175425610659
High School Physics (Avg: 0.218),0.1986754966887417,0.1986754966887417,0.1986754966887417,0.1986754966887417,0.1986754966887417,0.1986754966887417,0.1986754966887417,0.18543046357615894,0.19205298013245034,0.1986754966887417,0.2251655629139073,0.2119205298013245,0.2052980132450331,0.23841059602649006,0.2251655629139073,0.2913907284768212,0.23841059602649006,0.23178807947019867,0.2251655629139073,0.2251655629139073,0.2251655629139073,0.23178807947019867,0.25165562913907286,0.2251655629139073,0.2119205298013245,0.2052980132450331,0.2913907284768212,0.2052980132450331,0.2251655629139073,0.26490066225165565,0.18543046357615894,0.25165562913907286,0.18543046357615894,0.2185430463576159,0.2185430463576159,0.2251655629139073,0.1986754966887417,0.18543046357615894,0.18543046357615894,0.2251655629139073,0.24503311258278146,0.2052980132450331,0.21791233049511194
High School Psychology (Avg: 0.216),0.1981651376146789,0.1926605504587156,0.1926605504587156,0.1926605504587156,0.1926605504587156,0.1926605504587156,0.1871559633027523,0.21651376146788992,0.22201834862385322,0.1926605504587156,0.1908256880733945,0.2018348623853211,0.2,0.24954128440366974,0.24036697247706423,0.22201834862385322,0.23853211009174313,0.22385321100917432,0.23119266055045873,0.23853211009174313,0.1853211009174312,0.20917431192660552,0.26972477064220185,0.21834862385321102,0.24036697247706423,0.20550458715596331,0.21284403669724772,0.24220183486238533,0.22935779816513763,0.23486238532110093,0.20917431192660552,0.21834862385321102,0.2018348623853211,0.20917431192660552,0.23119266055045873,0.20550458715596331,0.21651376146788992,0.20550458715596331,0.21651376146788992,0.22568807339449543,0.26605504587155965,0.20733944954128442,0.21612057667103546
High School Geography (Avg: 0.214),0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.17676767676767677,0.18181818181818182,0.16666666666666666,0.1919191919191919,0.20707070707070707,0.1717171717171717,0.18686868686868688,0.24242424242424243,0.21717171717171718,0.24242424242424243,0.21212121212121213,0.18686868686868688,0.1919191919191919,0.2828282828282828,0.23737373737373738,0.25252525252525254,0.20202020202020202,0.20707070707070707,0.21717171717171718,0.21212121212121213,0.25757575757575757,0.23737373737373738,0.2676767676767677,0.25252525252525254,0.2676767676767677,0.2676767676767677,0.2474747474747475,0.21717171717171718,0.19696969696969696,0.2222222222222222,0.25252525252525254,0.26262626262626265,0.2676767676767677,0.21416546416546417
Anatomy (Avg: 0.206),0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.1925925925925926,0.17777777777777778,0.17777777777777778,0.1925925925925926,0.2074074074074074,0.21481481481481482,0.17037037037037037,0.2,0.2222222222222222,0.2222222222222222,0.22962962962962963,0.2074074074074074,0.2,0.26666666666666666,0.22962962962962963,0.2074074074074074,0.2074074074074074,0.2,0.1925925925925926,0.2074074074074074,0.14074074074074075,0.2518518518518518,0.2,0.16296296296296298,0.24444444444444444,0.2222222222222222,0.2222222222222222,0.21481481481481482,0.17777777777777778,0.21481481481481482,0.23703703703703705,0.23703703703703705,0.21481481481481482,0.2222222222222222,0.2074074074074074,0.24444444444444444,0.20599647266313928
High School Statistics (Avg: 0.202),0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.18055555555555555,0.16203703703703703,0.1527777777777778,0.18518518518518517,0.19907407407407407,0.17592592592592593,0.3472222222222222,0.23148148148148148,0.3194444444444444,0.18981481481481483,0.20833333333333334,0.1574074074074074,0.22685185185185186,0.1111111111111111,0.22685185185185186,0.3101851851851852,0.19907407407407407,0.19444444444444445,0.14351851851851852,0.2824074074074074,0.18981481481481483,0.27314814814814814,0.3194444444444444,0.2361111111111111,0.17592592592592593,0.17592592592592593,0.18981481481481483,0.2638888888888889,0.18518518518518517,0.16203703703703703,0.16203703703703703,0.17592592592592593,0.21296296296296297,0.3055555555555556,0.18981481481481483,0.20216049382716048
High School Chemistry (Avg: 0.199),0.15270935960591134,0.15270935960591134,0.15270935960591134,0.15270935960591134,0.15270935960591134,0.15270935960591134,0.15763546798029557,0.15763546798029557,0.15763546798029557,0.15270935960591134,0.21182266009852216,0.18226600985221675,0.17733990147783252,0.1724137931034483,0.1625615763546798,0.20689655172413793,0.20689655172413793,0.1330049261083744,0.2413793103448276,0.22660098522167488,0.26108374384236455,0.2561576354679803,0.270935960591133,0.18719211822660098,0.20689655172413793,0.21674876847290642,0.270935960591133,0.2413793103448276,0.2660098522167488,0.26108374384236455,0.1921182266009852,0.1724137931034483,0.20689655172413793,0.18226600985221675,0.22660098522167488,0.1921182266009852,0.21182266009852216,0.19704433497536947,0.2019704433497537,0.28078817733990147,0.22167487684729065,0.18719211822660098,0.1993901008679334
Global Facts (Avg: 0.198),0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.17,0.21,0.18,0.17,0.19,0.26,0.28,0.26,0.26,0.23,0.21,0.24,0.18,0.18,0.23,0.19,0.24,0.19,0.2,0.2,0.19,0.2,0.19,0.2,0.16,0.16,0.23,0.25,0.18,0.19833333333333333
Astronomy (Avg: 0.193),0.17763157894736842,0.17763157894736842,0.17763157894736842,0.17763157894736842,0.17763157894736842,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.16447368421052633,0.17763157894736842,0.16447368421052633,0.15789473684210525,0.17105263157894737,0.21710526315789475,0.19736842105263158,0.25,0.20394736842105263,0.2565789473684211,0.21052631578947367,0.18421052631578946,0.19078947368421054,0.17105263157894737,0.20394736842105263,0.17105263157894737,0.19078947368421054,0.21052631578947367,0.17105263157894737,0.18421052631578946,0.17105263157894737,0.19078947368421054,0.16447368421052633,0.19078947368421054,0.1513157894736842,0.2236842105263158,0.19078947368421054,0.17763157894736842,0.19736842105263158,0.19078947368421054,0.19736842105263158,0.24342105263157895,0.27631578947368424,0.2631578947368421,0.1932957393483709
Management (Avg: 0.189),0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.1650485436893204,0.18446601941747573,0.17475728155339806,0.24271844660194175,0.18446601941747573,0.1650485436893204,0.17475728155339806,0.18446601941747573,0.21359223300970873,0.20388349514563106,0.18446601941747573,0.20388349514563106,0.24271844660194175,0.1262135922330097,0.18446601941747573,0.17475728155339806,0.18446601941747573,0.1941747572815534,0.17475728155339806,0.21359223300970873,0.18446601941747573,0.17475728155339806,0.1941747572815534,0.21359223300970873,0.23300970873786409,0.17475728155339806,0.24271844660194175,0.17475728155339806,0.20388349514563106,0.21359223300970873,0.20388349514563106,0.21359223300970873,0.18932038834951456
