run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
baseline,baseline,0,,0.22995,0.24166,0.21313,0.21937,0.23978
baseline,baseline,0,,0.22995,0.24166,0.21313,0.21937,0.23978
clean_restart,step,30000,,0.26086,0.24336,0.26419,0.26162,0.28323
clean_restart,step,35000,,0.25167,0.26823,0.255,0.23984,0.23495
clean_restart,step,40000,,0.26926,0.24166,0.28639,0.31069,0.25266
clean_restart,step,45000,,0.24562,0.25972,0.24421,0.23367,0.23753
clean_restart,step,50000,,0.22917,0.23996,0.21376,0.21969,0.23785
clean_restart,best,52000,14.19,0.22995,0.2457,0.21472,0.21612,0.23528
clean_restart,best,55000,14.19,0.24619,0.24442,0.2385,0.23432,0.26843
clean_restart,best,57000,14.18,0.24655,0.24506,0.23882,0.23432,0.26875
clean_restart,best,60000,14.17,0.24961,0.24272,0.23977,0.24927,0.27036
clean_restart,best,62000,14.17,0.24662,0.24485,0.24072,0.23399,0.26778
clean_restart,best,65000,14.16,0.24441,0.24357,0.23501,0.22684,0.27261
clean_restart,best,67000,14.15,0.26442,0.2457,0.27276,0.29022,0.25877
clean_restart,best,70000,14.15,0.26891,0.24166,0.28608,0.31069,0.25137
clean_restart,best,72000,14.14,0.24534,0.2508,0.2347,0.24862,0.24461
clean_restart,best,75000,14.14,0.25538,0.27163,0.26166,0.23887,0.24075
clean_restart,step,105000,,0.23017,0.24336,0.21313,0.21677,0.24075
clean_restart,step,110000,,0.24427,0.24506,0.24421,0.25837,0.22916
clean_restart,step,115000,,0.24704,0.24676,0.24358,0.23984,0.25813
clean_restart,best,120000,14.08,0.25566,0.26036,0.26451,0.24634,0.24879
clean_restart,step,125000,,0.24562,0.24591,0.23755,0.23204,0.26682
clean_restart,best,130000,14.08,0.24655,0.24506,0.23882,0.23432,0.26875
clean_restart,best,132000,14.08,0.26691,0.25101,0.27846,0.26162,0.28452
clean_restart,best,135000,14.07,0.25495,0.27099,0.26197,0.23724,0.24107
clean_restart,best,137000,14.08,0.26969,0.23889,0.28703,0.31167,0.25716
clean_restart,best,140000,14.08,0.2469,0.24527,0.23882,0.23529,0.26907
clean_restart,best,142000,14.07,0.26036,0.24825,0.25817,0.28079,0.2607
clean_restart,best,145000,14.07,0.22945,0.24208,0.2125,0.21709,0.23978
clean_restart,best,147000,14.06,0.22945,0.24208,0.2125,0.21709,0.23978
clean_restart,best,150000,14.06,0.25609,0.24145,0.25436,0.27917,0.25716
clean_restart,step,180000,,0.26891,0.24166,0.28608,0.31069,0.25137
clean_restart,step,185000,,0.26891,0.24166,0.28608,0.31069,0.25137
clean_restart,step,190000,,0.24356,0.24208,0.23153,0.23269,0.26875
clean_restart,step,195000,,0.2516,0.24591,0.25182,0.25057,0.26102
clean_restart,step,200000,,0.24754,0.2508,0.25912,0.23887,0.23946
clean_restart,best,202000,14.04,0.25509,0.2712,0.26261,0.23789,0.2401
clean_restart,best,205000,14.04,0.25709,0.2474,0.26419,0.27592,0.2459
clean_restart,best,207000,14.04,0.23928,0.26079,0.23057,0.22034,0.23431
clean_restart,best,210000,14.04,0.26891,0.24166,0.28608,0.31069,0.25137
clean_restart,best,212000,14.04,0.23408,0.24718,0.22201,0.21904,0.24139
clean_restart,best,215000,14.04,0.2657,0.2423,0.28037,0.30452,0.24783
clean_restart,best,217000,14.03,0.24704,0.24527,0.23945,0.23464,0.26971
clean_restart,best,220000,14.03,0.25509,0.2712,0.26261,0.23789,0.2401
clean_restart,best,222000,14.03,0.24655,0.24506,0.23882,0.23432,0.26875
clean_restart,best,225000,14.03,0.2323,0.24825,0.21757,0.21189,0.24332
clean_restart,step,255000,,0.24655,0.24506,0.23882,0.23432,0.26875
clean_restart,step,260000,,0.26884,0.24825,0.28195,0.30614,0.24976
clean_restart,best,262000,14.02,0.24918,0.26674,0.24675,0.23334,0.24075
clean_restart,step,265000,,0.26905,0.24166,0.28608,0.31069,0.25201
clean_restart,best,270000,14.01,0.26891,0.24166,0.28608,0.31069,0.25137
clean_restart,best,272000,14.02,0.22938,0.24038,0.21281,0.21742,0.24139
clean_restart,step,275000,,0.22945,0.24208,0.2125,0.21709,0.23978
clean_restart,step,280000,,0.25445,0.27035,0.26261,0.23692,0.23946
clean_restart,best,282000,14.01,0.24911,0.2542,0.23819,0.24927,0.25233
clean_restart,best,285000,14.01,0.24341,0.24888,0.23216,0.24472,0.24525
clean_restart,best,287000,14.01,0.25402,0.27056,0.26324,0.23529,0.23817
clean_restart,step,290000,,0.24633,0.24697,0.24611,0.23237,0.25941
clean_restart,best,292000,14.01,0.24804,0.26036,0.24516,0.22977,0.2504
clean_restart,best,295000,14.01,0.23116,0.24102,0.21535,0.22164,0.24171
clean_restart,best,297000,14.01,0.23159,0.24017,0.22042,0.22099,0.24042
clean_restart,best,300000,14.0,0.25531,0.2712,0.26356,0.23822,0.23978
clean_restart,step,340000,,0.25189,0.27099,0.24992,0.23497,0.24171
clean_restart,best,345000,1399.42,0.24861,0.24655,0.24707,0.23367,0.2681
clean_restart,step,350000,,0.25303,0.24442,0.25278,0.26617,0.2533
clean_restart,best,355000,1399.51,0.24655,0.24506,0.23882,0.23432,0.26875
clean_restart,best,357000,1399.41,0.24647,0.24506,0.23882,0.23399,0.26875
clean_restart,best,360000,1399.22,0.24612,0.24548,0.23882,0.23302,0.26746
clean_restart,step,365000,,0.25523,0.27099,0.26356,0.23692,0.24107
clean_restart,best,370000,1399.25,0.2677,0.24548,0.27688,0.30907,0.25105
clean_restart,best,372000,1398.97,0.22945,0.24166,0.21408,0.21839,0.23753
clean_restart,best,375000,1398.95,0.22945,0.2423,0.21218,0.21709,0.23978
clean_restart,best,380000,1398.95,0.25374,0.26631,0.25817,0.24147,0.24236
