,105k,110k,115k,120k,125k,130k,132k,135k,137k,140k,142k,145k,147k,150k,152k,232k,235k,240k,242k,245k,247k,250k,252k,255k,257k,260k,262k,265k,267k,270k,272k,275k,277k,280k,282k,357k,362k,365k,367k,370k,372k,375k,380k,382k,385k,387k,390k,392k,395k,397k,400k,402k,405k,407k,410k,417k,422k,442k,457k,462k,467k,477k,480k,482k,485k,487k,490k,492k,495k,500k,505k,510k,515k,520k,525k,AVG
High School Geography (Avg: 0.357),0.36363636363636365,0.3888888888888889,0.3434343434343434,0.3686868686868687,0.37373737373737376,0.36363636363636365,0.3333333333333333,0.37373737373737376,0.3787878787878788,0.37373737373737376,0.37373737373737376,0.3939393939393939,0.3888888888888889,0.3787878787878788,0.36363636363636365,0.35353535353535354,0.35858585858585856,0.35858585858585856,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35858585858585856,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35676767676767673
College Physics (Avg: 0.351),0.24509803921568626,0.30392156862745096,0.20588235294117646,0.22549019607843138,0.2647058823529412,0.22549019607843138,0.27450980392156865,0.29411764705882354,0.3333333333333333,0.28431372549019607,0.3137254901960784,0.28431372549019607,0.29411764705882354,0.3333333333333333,0.3627450980392157,0.3627450980392157,0.35294117647058826,0.3627450980392157,0.3627450980392157,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.3627450980392157,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.3431372549019608,0.3431372549019608,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.3431372549019608,0.35294117647058826,0.35294117647058826,0.3431372549019608,0.3627450980392157,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.35294117647058826,0.38235294117647056,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.35071895424836597
High School Microeconomics (Avg: 0.346),0.35294117647058826,0.3487394957983193,0.31932773109243695,0.31092436974789917,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.33613445378151263,0.3277310924369748,0.3445378151260504,0.33613445378151263,0.3403361344537815,0.3403361344537815,0.33613445378151263,0.33613445378151263,0.35294117647058826,0.3487394957983193,0.35294117647058826,0.35294117647058826,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.35294117647058826,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3445378151260504,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3445378151260504,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3445378151260504,0.3445378151260504,0.3487394957983193,0.3445378151260504,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3403361344537815,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3463305322128852
High School Psychology (Avg: 0.345),0.3394495412844037,0.3376146788990826,0.3247706422018349,0.3247706422018349,0.3229357798165138,0.3229357798165138,0.3192660550458716,0.3284403669724771,0.3321100917431193,0.3284403669724771,0.3339449541284404,0.3321100917431193,0.3394495412844037,0.3412844036697248,0.3376146788990826,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3467889908256881,0.3467889908256881,0.344954128440367,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3431192660550459,0.3467889908256881,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3446360856269114
College Medicine (Avg: 0.334),0.34104046242774566,0.3468208092485549,0.3063583815028902,0.2947976878612717,0.31213872832369943,0.26011560693641617,0.31213872832369943,0.35260115606936415,0.31213872832369943,0.3063583815028902,0.3468208092485549,0.32947976878612717,0.3063583815028902,0.3468208092485549,0.3468208092485549,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.32947976878612717,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3468208092485549,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.34104046242774566,0.3468208092485549,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.32947976878612717,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.33371868978805386
Astronomy (Avg: 0.324),0.29605263157894735,0.3026315789473684,0.27631578947368424,0.2894736842105263,0.28289473684210525,0.25,0.25,0.2565789473684211,0.2894736842105263,0.26973684210526316,0.27631578947368424,0.2631578947368421,0.29605263157894735,0.28289473684210525,0.3026315789473684,0.32894736842105265,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.32894736842105265,0.3157894736842105,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.34210526315789475,0.3355263157894737,0.34210526315789475,0.34210526315789475,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.32385964912280696
High School Physics (Avg: 0.323),0.25165562913907286,0.31788079470198677,0.25165562913907286,0.2913907284768212,0.2847682119205298,0.25165562913907286,0.2582781456953642,0.2913907284768212,0.2913907284768212,0.2913907284768212,0.2980132450331126,0.31788079470198677,0.33774834437086093,0.32450331125827814,0.3443708609271523,0.32450331125827814,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.31788079470198677,0.31788079470198677,0.33112582781456956,0.33112582781456956,0.31788079470198677,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.33774834437086093,0.33112582781456956,0.33774834437086093,0.32450331125827814,0.32450331125827814,0.33112582781456956,0.3509933774834437,0.33112582781456956,0.33774834437086093,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33774834437086093,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.32291390728476826
College Computer Science (Avg: 0.320),0.28,0.26,0.23,0.27,0.27,0.27,0.25,0.26,0.3,0.3,0.28,0.3,0.31,0.31,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31986666666666663
High School Biology (Avg: 0.311),0.29354838709677417,0.3064516129032258,0.27419354838709675,0.2645161290322581,0.3,0.267741935483871,0.3,0.3064516129032258,0.2967741935483871,0.2967741935483871,0.3064516129032258,0.3032258064516129,0.3064516129032258,0.2967741935483871,0.3096774193548387,0.3193548387096774,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3193548387096774,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3193548387096774,0.3193548387096774,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3096774193548387,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3096774193548387,0.3064516129032258,0.31290322580645163,0.3096774193548387,0.3161290322580645,0.3096774193548387,0.31290322580645163,0.31290322580645163,0.3064516129032258,0.3064516129032258,0.31290322580645163,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.3108817204301075
College Mathematics (Avg: 0.304),0.31,0.33,0.29,0.29,0.32,0.28,0.27,0.3,0.26,0.28,0.3,0.3,0.3,0.29,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.32,0.31,0.31,0.31,0.3,0.3,0.31,0.31,0.31,0.3,0.28,0.31,0.28,0.29,0.3,0.29,0.3,0.31,0.3,0.29,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.3041333333333333
Clinical Knowledge (Avg: 0.296),0.2981132075471698,0.2943396226415094,0.26037735849056604,0.24150943396226415,0.28679245283018867,0.2641509433962264,0.2679245283018868,0.28679245283018867,0.27547169811320754,0.27169811320754716,0.2981132075471698,0.2943396226415094,0.2943396226415094,0.3018867924528302,0.30943396226415093,0.3018867924528302,0.3018867924528302,0.2943396226415094,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.3018867924528302,0.3018867924528302,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.2981132075471698,0.2943396226415094,0.2981132075471698,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.3132075471698113,0.30566037735849055,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.2981132075471698,0.3018867924528302,0.30566037735849055,0.2981132075471698,0.30566037735849055,0.30566037735849055,0.3018867924528302,0.3018867924528302,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2961006289308177
Nutrition (Avg: 0.291),0.27450980392156865,0.2777777777777778,0.2581699346405229,0.2647058823529412,0.28431372549019607,0.2679738562091503,0.26143790849673204,0.27450980392156865,0.28431372549019607,0.2875816993464052,0.2875816993464052,0.2908496732026144,0.30718954248366015,0.29411764705882354,0.2875816993464052,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2908496732026144,0.29411764705882354,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.2973856209150327,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.2875816993464052,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.29119825708061
Human Sexuality (Avg: 0.279),0.25190839694656486,0.2748091603053435,0.26717557251908397,0.29770992366412213,0.2366412213740458,0.3053435114503817,0.26717557251908397,0.2900763358778626,0.2900763358778626,0.26717557251908397,0.2824427480916031,0.26717557251908397,0.26717557251908397,0.2595419847328244,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2789821882951654
High School Chemistry (Avg: 0.275),0.2857142857142857,0.27586206896551724,0.23645320197044334,0.2512315270935961,0.2512315270935961,0.2512315270935961,0.2512315270935961,0.270935960591133,0.27586206896551724,0.2512315270935961,0.2660098522167488,0.2413793103448276,0.28078817733990147,0.26108374384236455,0.26108374384236455,0.270935960591133,0.2660098522167488,0.29064039408866993,0.27586206896551724,0.27586206896551724,0.270935960591133,0.27586206896551724,0.270935960591133,0.27586206896551724,0.28078817733990147,0.27586206896551724,0.28078817733990147,0.270935960591133,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.28078817733990147,0.27586206896551724,0.2857142857142857,0.28078817733990147,0.28078817733990147,0.2857142857142857,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.2857142857142857,0.28078817733990147,0.27586206896551724,0.2857142857142857,0.28078817733990147,0.27586206896551724,0.28078817733990147,0.27586206896551724,0.27586206896551724,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.27586206896551724,0.28078817733990147,0.270935960591133,0.28078817733990147,0.27586206896551724,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.28078817733990147,0.2857142857142857,0.27520525451559935
Moral Scenarios (Avg: 0.273),0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.2737430167597765,0.2737430167597765,0.2737430167597765,0.2748603351955307,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27270018621973935
Elementary Mathematics (Avg: 0.268),0.2698412698412698,0.2698412698412698,0.2724867724867725,0.26455026455026454,0.2619047619047619,0.2698412698412698,0.26455026455026454,0.2724867724867725,0.2671957671957672,0.2751322751322751,0.26455026455026454,0.2698412698412698,0.2671957671957672,0.2724867724867725,0.26455026455026454,0.2698412698412698,0.2751322751322751,0.2751322751322751,0.2777777777777778,0.2698412698412698,0.2724867724867725,0.2777777777777778,0.2751322751322751,0.2751322751322751,0.2751322751322751,0.2751322751322751,0.2751322751322751,0.2724867724867725,0.2724867724867725,0.2751322751322751,0.2698412698412698,0.2724867724867725,0.2671957671957672,0.2698412698412698,0.2671957671957672,0.26455026455026454,0.26455026455026454,0.2671957671957672,0.2698412698412698,0.2671957671957672,0.2698412698412698,0.2698412698412698,0.26455026455026454,0.2671957671957672,0.2671957671957672,0.2671957671957672,0.2698412698412698,0.2671957671957672,0.2698412698412698,0.2671957671957672,0.2698412698412698,0.2619047619047619,0.26455026455026454,0.2698412698412698,0.2619047619047619,0.2671957671957672,0.26455026455026454,0.26455026455026454,0.2619047619047619,0.25925925925925924,0.2619047619047619,0.2671957671957672,0.2619047619047619,0.2671957671957672,0.2671957671957672,0.26455026455026454,0.2619047619047619,0.26455026455026454,0.25925925925925924,0.26455026455026454,0.2671957671957672,0.26455026455026454,0.2671957671957672,0.2671957671957672,0.2671957671957672,0.2682539682539682
Us Foreign Policy (Avg: 0.264),0.29,0.27,0.23,0.28,0.3,0.26,0.29,0.3,0.32,0.34,0.25,0.25,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.2641333333333334
Sociology (Avg: 0.263),0.24875621890547264,0.23880597014925373,0.22388059701492538,0.25870646766169153,0.22388059701492538,0.23880597014925373,0.2537313432835821,0.23880597014925373,0.22885572139303484,0.23880597014925373,0.2537313432835821,0.24875621890547264,0.24378109452736318,0.24875621890547264,0.23880597014925373,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.2632835820895522
High School Mathematics (Avg: 0.259),0.23333333333333334,0.24074074074074073,0.22592592592592592,0.24444444444444444,0.22962962962962963,0.22592592592592592,0.24814814814814815,0.24814814814814815,0.25555555555555554,0.24444444444444444,0.22962962962962963,0.24814814814814815,0.2518518518518518,0.2740740740740741,0.25555555555555554,0.26666666666666666,0.26296296296296295,0.26666666666666666,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.25925925925925924,0.26296296296296295,0.26666666666666666,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26666666666666666,0.26666666666666666,0.26296296296296295,0.26296296296296295,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26296296296296295,0.26666666666666666,0.26296296296296295,0.26296296296296295,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.25925925925925924,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.26296296296296295,0.2593086419753086
College Biology (Avg: 0.259),0.24305555555555555,0.24305555555555555,0.2361111111111111,0.22916666666666666,0.24305555555555555,0.2361111111111111,0.2013888888888889,0.25,0.24305555555555555,0.2847222222222222,0.2638888888888889,0.25,0.2638888888888889,0.2569444444444444,0.2569444444444444,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.25,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.25,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2586111111111111
High School Us History (Avg: 0.256),0.25980392156862747,0.2549019607843137,0.2696078431372549,0.25980392156862747,0.2696078431372549,0.2549019607843137,0.25980392156862747,0.2549019607843137,0.25980392156862747,0.24019607843137256,0.2549019607843137,0.2647058823529412,0.25980392156862747,0.2549019607843137,0.25980392156862747,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2556209150326797
