,115k,130k,132k,125k,140k,135k,105k,110k,152k,145k,150k,407k,495k,457k,492k,462k,500k,405k,485k,490k,387k,505k,480k,417k,442k,397k,365k,487k,402k,362k,422k,380k,382k,400k,510k,467k,515k,520k,147k,477k,482k,375k,390k,282k,370k,277k,357k,525k,272k,395k,280k,270k,392k,372k,255k,262k,245k,265k,257k,247k,252k,267k,232k,235k,242k,240k,250k,AVG
High School Geography (Avg: 0.356),0.3434343434343434,0.36363636363636365,0.3333333333333333,0.37373737373737376,0.37373737373737376,0.37373737373737376,0.36363636363636365,0.3888888888888889,0.36363636363636365,0.3939393939393939,0.3787878787878788,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.3888888888888889,0.35858585858585856,0.35353535353535354,0.3484848484848485,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35858585858585856,0.35353535353535354,0.35858585858585856,0.35353535353535354,0.35632443841399064
College Physics (Avg: 0.352),0.20588235294117646,0.22549019607843138,0.27450980392156865,0.2647058823529412,0.28431372549019607,0.29411764705882354,0.24509803921568626,0.30392156862745096,0.3627450980392157,0.28431372549019607,0.3333333333333333,0.37254901960784315,0.35294117647058826,0.3627450980392157,0.37254901960784315,0.3431372549019608,0.38235294117647056,0.3431372549019608,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3431372549019608,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.3627450980392157,0.37254901960784315,0.3431372549019608,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.29411764705882354,0.35294117647058826,0.3627450980392157,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.35294117647058826,0.3627450980392157,0.3627450980392157,0.37254901960784315,0.3517705589698566
High School Microeconomics (Avg: 0.347),0.31932773109243695,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.3445378151260504,0.33613445378151263,0.35294117647058826,0.3487394957983193,0.33613445378151263,0.3403361344537815,0.33613445378151263,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3445378151260504,0.3487394957983193,0.3487394957983193,0.3445378151260504,0.3445378151260504,0.3487394957983193,0.3403361344537815,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3403361344537815,0.3487394957983193,0.3445378151260504,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.3487394957983193,0.35294117647058826,0.3487394957983193,0.35294117647058826,0.3487394957983193,0.35294117647058826,0.35294117647058826,0.3487394957983193,0.34717170450269663
High School Psychology (Avg: 0.345),0.3247706422018349,0.3229357798165138,0.3192660550458716,0.3229357798165138,0.3284403669724771,0.3284403669724771,0.3394495412844037,0.3376146788990826,0.3376146788990826,0.3321100917431193,0.3412844036697248,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3467889908256881,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3394495412844037,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.344954128440367,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3431192660550459,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.3486238532110092,0.3486238532110092,0.3450362864576202
College Medicine (Avg: 0.334),0.3063583815028902,0.26011560693641617,0.31213872832369943,0.31213872832369943,0.3063583815028902,0.35260115606936415,0.34104046242774566,0.3468208092485549,0.3468208092485549,0.32947976878612717,0.3468208092485549,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.32947976878612717,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3468208092485549,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3063583815028902,0.3468208092485549,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.32947976878612717,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.3352601156069364,0.34104046242774566,0.34104046242774566,0.34104046242774566,0.34104046242774566,0.3352601156069364,0.3352601156069364,0.33431110344232595
Astronomy (Avg: 0.325),0.27631578947368424,0.25,0.25,0.28289473684210525,0.26973684210526316,0.2565789473684211,0.29605263157894735,0.3026315789473684,0.3026315789473684,0.2631578947368421,0.28289473684210525,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.34210526315789475,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.3355263157894737,0.34210526315789475,0.3355263157894737,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.3355263157894737,0.3355263157894737,0.29605263157894735,0.34210526315789475,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.34210526315789475,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32894736842105265,0.32894736842105265,0.32894736842105265,0.3355263157894737,0.3355263157894737,0.3355263157894737,0.32501963864886085
High School Physics (Avg: 0.324),0.25165562913907286,0.25165562913907286,0.2582781456953642,0.2847682119205298,0.2913907284768212,0.2913907284768212,0.25165562913907286,0.31788079470198677,0.3443708609271523,0.31788079470198677,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33774834437086093,0.32450331125827814,0.3509933774834437,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.31788079470198677,0.32450331125827814,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.33112582781456956,0.33774834437086093,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33774834437086093,0.33112582781456956,0.31788079470198677,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33774834437086093,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.32450331125827814,0.32450331125827814,0.33112582781456956,0.33112582781456956,0.33112582781456956,0.3237125630127509
College Computer Science (Avg: 0.321),0.23,0.27,0.25,0.27,0.3,0.26,0.28,0.26,0.33,0.3,0.31,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.3208955223880597
High School Biology (Avg: 0.311),0.27419354838709675,0.267741935483871,0.3,0.3,0.2967741935483871,0.3064516129032258,0.29354838709677417,0.3064516129032258,0.3096774193548387,0.3032258064516129,0.2967741935483871,0.3161290322580645,0.31290322580645163,0.3096774193548387,0.3064516129032258,0.3064516129032258,0.31290322580645163,0.3161290322580645,0.31290322580645163,0.3064516129032258,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.31290322580645163,0.31290322580645163,0.31290322580645163,0.3096774193548387,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.31290322580645163,0.3064516129032258,0.3096774193548387,0.3096774193548387,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.31290322580645163,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3193548387096774,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3193548387096774,0.3193548387096774,0.3161290322580645,0.3161290322580645,0.3161290322580645,0.3193548387096774,0.3114588348579682
College Mathematics (Avg: 0.305),0.29,0.28,0.27,0.32,0.28,0.3,0.31,0.33,0.31,0.3,0.29,0.3,0.32,0.29,0.31,0.31,0.3,0.29,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.28,0.3,0.31,0.28,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.30522388059701494
Clinical Knowledge (Avg: 0.297),0.26037735849056604,0.2641509433962264,0.2679245283018868,0.28679245283018867,0.27169811320754716,0.28679245283018867,0.2981132075471698,0.2943396226415094,0.30943396226415093,0.2943396226415094,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.30566037735849055,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.30566037735849055,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.3018867924528302,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.3132075471698113,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.3018867924528302,0.2981132075471698,0.30566037735849055,0.2981132075471698,0.2981132075471698,0.2943396226415094,0.30566037735849055,0.3018867924528302,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.2943396226415094,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.3018867924528302,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.2981132075471698,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.2943396226415094,0.2981132075471698,0.2970430864545198
Nutrition (Avg: 0.291),0.2581699346405229,0.2679738562091503,0.26143790849673204,0.28431372549019607,0.2875816993464052,0.27450980392156865,0.27450980392156865,0.2777777777777778,0.2875816993464052,0.2908496732026144,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.2908496732026144,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.30718954248366015,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.2973856209150327,0.29411764705882354,0.2973856209150327,0.29411764705882354,0.2908496732026144,0.2973856209150327,0.29411764705882354,0.2973856209150327,0.2973856209150327,0.29411764705882354,0.2908496732026144,0.2908496732026144,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.29411764705882354,0.2973856209150327,0.2973856209150327,0.2973856209150327,0.29411764705882354,0.29411764705882354,0.2973856209150327,0.2908496732026144,0.2973856209150327,0.2914837576821774
Human Sexuality (Avg: 0.278),0.26717557251908397,0.3053435114503817,0.26717557251908397,0.2366412213740458,0.26717557251908397,0.2900763358778626,0.25190839694656486,0.2748091603053435,0.2824427480916031,0.26717557251908397,0.2595419847328244,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.26717557251908397,0.2748091603053435,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2748091603053435,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2783411188333144
