run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,5000,,0.22981,0.24272,0.21186,0.21742,0.24075
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,10000,,0.23024,0.24315,0.21472,0.21742,0.23914
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,20000,,0.23109,0.24081,0.21725,0.21969,0.24171
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,25000,,0.23081,0.24081,0.2163,0.22067,0.24042
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,30000,,0.23081,0.24081,0.21567,0.21937,0.24236
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,35000,,0.23074,0.23932,0.21567,0.22359,0.2401
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,40000,,0.23102,0.24145,0.21535,0.22034,0.24171
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,45000,,0.22981,0.24081,0.21376,0.22002,0.23914
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,50000,,0.23145,0.2406,0.21535,0.22067,0.24461
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,55000,,0.23109,0.23953,0.21694,0.22359,0.2401
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,60000,,0.23302,0.23847,0.22011,0.22619,0.24461
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,65000,,0.23358,0.24251,0.21725,0.22164,0.24847
