,45k,5k,10k,35k,25k,30k,40k,55k,20k,50k,145k,60k,95k,65k,155k,165k,180k,80k,100k,125k,90k,150k,135k,120k,110k,85k,70k,75k,140k,130k,160k,215k,200k,210k,195k,230k,255k,265k,280k,225k,250k,270k,380k,240k,260k,275k,245k,285k,375k,305k,385k,335k,235k,330k,390k,340k,370k,315k,295k,320k,325k,365k,300k,360k,AVG
Human Sexuality (Avg: 0.277),0.26717557251908397,0.2595419847328244,0.2595419847328244,0.26717557251908397,0.2595419847328244,0.2595419847328244,0.2595419847328244,0.26717557251908397,0.2595419847328244,0.26717557251908397,0.25190839694656486,0.2748091603053435,0.2595419847328244,0.2748091603053435,0.25190839694656486,0.22900763358778625,0.25190839694656486,0.26717557251908397,0.2824427480916031,0.3053435114503817,0.25190839694656486,0.2595419847328244,0.2824427480916031,0.2595419847328244,0.2824427480916031,0.26717557251908397,0.2748091603053435,0.2824427480916031,0.2824427480916031,0.2824427480916031,0.2366412213740458,0.24427480916030533,0.25190839694656486,0.26717557251908397,0.26717557251908397,0.25190839694656486,0.29770992366412213,0.25190839694656486,0.2900763358778626,0.2748091603053435,0.2595419847328244,0.2900763358778626,0.29770992366412213,0.2748091603053435,0.2900763358778626,0.31297709923664124,0.2824427480916031,0.3053435114503817,0.2900763358778626,0.29770992366412213,0.2900763358778626,0.2900763358778626,0.2900763358778626,0.29770992366412213,0.2900763358778626,0.3282442748091603,0.2824427480916031,0.32061068702290074,0.3053435114503817,0.29770992366412213,0.29770992366412213,0.2824427480916031,0.3435114503816794,0.26717557251908397,0.2768368320610687
College Computer Science (Avg: 0.275),0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.24,0.23,0.23,0.19,0.23,0.26,0.26,0.23,0.24,0.26,0.22,0.22,0.26,0.26,0.27,0.25,0.21,0.22,0.25,0.26,0.28,0.27,0.22,0.27,0.25,0.26,0.32,0.32,0.32,0.27,0.29,0.31,0.29,0.28,0.3,0.32,0.25,0.3,0.35,0.32,0.32,0.35,0.28,0.37,0.35,0.31,0.34,0.35,0.3,0.35,0.35,0.33,0.35,0.34,0.27546875000000004
High School Psychology (Avg: 0.274),0.20550458715596331,0.1926605504587156,0.1963302752293578,0.20917431192660552,0.2018348623853211,0.2018348623853211,0.2,0.21284403669724772,0.2036697247706422,0.20733944954128442,0.21284403669724772,0.20917431192660552,0.20917431192660552,0.1963302752293578,0.23853211009174313,0.22018348623853212,0.23119266055045873,0.20550458715596331,0.22568807339449543,0.24220183486238533,0.23486238532110093,0.23119266055045873,0.22935779816513763,0.26055045871559634,0.23119266055045873,0.22568807339449543,0.25504587155963304,0.22568807339449543,0.22752293577981653,0.25321100917431194,0.25321100917431194,0.30642201834862387,0.29541284403669726,0.28807339449541286,0.30091743119266057,0.30642201834862387,0.3100917431192661,0.3137614678899083,0.30825688073394497,0.3119266055045872,0.326605504587156,0.3174311926605505,0.3192660550458716,0.3155963302752294,0.3211009174311927,0.326605504587156,0.3321100917431193,0.3174311926605505,0.3247706422018349,0.3339449541284404,0.3247706422018349,0.3302752293577982,0.3357798165137615,0.3284403669724771,0.3357798165137615,0.3321100917431193,0.3412844036697248,0.3357798165137615,0.3321100917431193,0.3357798165137615,0.3357798165137615,0.3394495412844037,0.3357798165137615,0.3376146788990826,0.2735378440366973
Nutrition (Avg: 0.271),0.22875816993464052,0.21895424836601307,0.2222222222222222,0.23202614379084968,0.23529411764705882,0.22875816993464052,0.22549019607843138,0.22549019607843138,0.23202614379084968,0.22549019607843138,0.2222222222222222,0.24509803921568626,0.22549019607843138,0.21895424836601307,0.22875816993464052,0.23202614379084968,0.23202614379084968,0.238562091503268,0.24836601307189543,0.2581699346405229,0.2581699346405229,0.25163398692810457,0.2549019607843137,0.23202614379084968,0.25163398692810457,0.23529411764705882,0.23529411764705882,0.24183006535947713,0.23529411764705882,0.24509803921568626,0.2581699346405229,0.29411764705882354,0.27450980392156865,0.28104575163398693,0.29411764705882354,0.2875816993464052,0.3104575163398693,0.3006535947712418,0.2973856209150327,0.2908496732026144,0.30718954248366015,0.3137254901960784,0.30392156862745096,0.2908496732026144,0.3137254901960784,0.30718954248366015,0.30718954248366015,0.3137254901960784,0.3104575163398693,0.30718954248366015,0.29411764705882354,0.3202614379084967,0.3006535947712418,0.3235294117647059,0.29411764705882354,0.30718954248366015,0.3006535947712418,0.31699346405228757,0.31699346405228757,0.30392156862745096,0.3202614379084967,0.30718954248366015,0.3104575163398693,0.2973856209150327,0.27098651960784315
Us Foreign Policy (Avg: 0.270),0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.28,0.27,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.27,0.26,0.28,0.26,0.29,0.28,0.22,0.24,0.26,0.3,0.27,0.29,0.28,0.3,0.25,0.24,0.22,0.25,0.28,0.25,0.23,0.26,0.28,0.25,0.21,0.29,0.28,0.24,0.26,0.28,0.22,0.29,0.27,0.31,0.27,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.3,0.28,0.29,0.27,0.28,0.28,0.27
College Biology (Avg: 0.269),0.2638888888888889,0.2638888888888889,0.2777777777777778,0.2916666666666667,0.2916666666666667,0.2847222222222222,0.2847222222222222,0.2847222222222222,0.2708333333333333,0.2986111111111111,0.2916666666666667,0.2569444444444444,0.2847222222222222,0.2986111111111111,0.2777777777777778,0.2638888888888889,0.2777777777777778,0.2777777777777778,0.2708333333333333,0.2847222222222222,0.2777777777777778,0.2777777777777778,0.2916666666666667,0.2916666666666667,0.2847222222222222,0.2708333333333333,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.2847222222222222,0.2916666666666667,0.2638888888888889,0.22916666666666666,0.2708333333333333,0.25,0.25,0.22916666666666666,0.22916666666666666,0.2569444444444444,0.2708333333333333,0.2361111111111111,0.2638888888888889,0.2777777777777778,0.2638888888888889,0.25,0.2638888888888889,0.24305555555555555,0.25,0.2569444444444444,0.25,0.2777777777777778,0.2708333333333333,0.2361111111111111,0.2777777777777778,0.2638888888888889,0.2847222222222222,0.2638888888888889,0.25,0.24305555555555555,0.25,0.24305555555555555,0.2777777777777778,0.25,0.2638888888888889,0.2685546875
College Physics (Avg: 0.267),0.21568627450980393,0.21568627450980393,0.21568627450980393,0.20588235294117646,0.20588235294117646,0.21568627450980393,0.20588235294117646,0.22549019607843138,0.22549019607843138,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.23529411764705882,0.22549019607843138,0.22549019607843138,0.20588235294117646,0.21568627450980393,0.23529411764705882,0.23529411764705882,0.21568627450980393,0.22549019607843138,0.23529411764705882,0.20588235294117646,0.19607843137254902,0.20588235294117646,0.23529411764705882,0.2549019607843137,0.22549019607843138,0.20588235294117646,0.22549019607843138,0.20588235294117646,0.2647058823529412,0.27450980392156865,0.22549019607843138,0.28431372549019607,0.24509803921568626,0.28431372549019607,0.27450980392156865,0.29411764705882354,0.28431372549019607,0.30392156862745096,0.30392156862745096,0.30392156862745096,0.30392156862745096,0.3431372549019608,0.30392156862745096,0.29411764705882354,0.29411764705882354,0.3333333333333333,0.3235294117647059,0.3431372549019608,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.3627450980392157,0.35294117647058826,0.3431372549019608,0.3137254901960784,0.3333333333333333,0.3431372549019608,0.35294117647058826,0.30392156862745096,0.3431372549019608,0.37254901960784315,0.26715686274509803
High School Geography (Avg: 0.265),0.17676767676767677,0.17676767676767677,0.17676767676767677,0.18181818181818182,0.17676767676767677,0.18686868686868688,0.1717171717171717,0.17676767676767677,0.16666666666666666,0.17676767676767677,0.20707070707070707,0.18181818181818182,0.21212121212121213,0.19696969696969696,0.2474747474747475,0.24242424242424243,0.25757575757575757,0.22727272727272727,0.23737373737373738,0.2676767676767677,0.23232323232323232,0.25757575757575757,0.25252525252525254,0.26262626262626265,0.25757575757575757,0.25252525252525254,0.25252525252525254,0.22727272727272727,0.2777777777777778,0.2727272727272727,0.25757575757575757,0.2828282828282828,0.2676767676767677,0.2676767676767677,0.2727272727272727,0.26262626262626265,0.2676767676767677,0.29292929292929293,0.29292929292929293,0.2676767676767677,0.2828282828282828,0.29797979797979796,0.3282828282828283,0.2878787878787879,0.2878787878787879,0.30808080808080807,0.29292929292929293,0.32323232323232326,0.3383838383838384,0.30808080808080807,0.3181818181818182,0.32323232323232326,0.29292929292929293,0.31313131313131315,0.3383838383838384,0.32323232323232326,0.3434343434343434,0.3282828282828283,0.3282828282828283,0.3383838383838384,0.3333333333333333,0.3282828282828283,0.3383838383838384,0.3434343434343434,0.26515151515151514
Professional Medicine (Avg: 0.265),0.1875,0.18382352941176472,0.1875,0.18382352941176472,0.18382352941176472,0.1875,0.1801470588235294,0.19117647058823528,0.1875,0.18382352941176472,0.19117647058823528,0.1875,0.1948529411764706,0.18382352941176472,0.19117647058823528,0.1948529411764706,0.1948529411764706,0.19117647058823528,0.19117647058823528,0.20220588235294118,0.20588235294117646,0.20588235294117646,0.1948529411764706,0.20220588235294118,0.19852941176470587,0.20220588235294118,0.20220588235294118,0.1948529411764706,0.19852941176470587,0.21691176470588236,0.1948529411764706,0.24632352941176472,0.23897058823529413,0.22058823529411764,0.25,0.2610294117647059,0.25,0.23897058823529413,0.28308823529411764,0.2977941176470588,0.27205882352941174,0.25735294117647056,0.3088235294117647,0.29044117647058826,0.30514705882352944,0.3272058823529412,0.2977941176470588,0.3088235294117647,0.38235294117647056,0.38235294117647056,0.41911764705882354,0.31985294117647056,0.36764705882352944,0.3272058823529412,0.3897058823529412,0.39705882352941174,0.4117647058823529,0.3713235294117647,0.39705882352941174,0.41911764705882354,0.4007352941176471,0.4338235294117647,0.40808823529411764,0.4522058823529412,0.2645335477941176
Jurisprudence (Avg: 0.264),0.26851851851851855,0.25,0.28703703703703703,0.26851851851851855,0.25925925925925924,0.26851851851851855,0.25925925925925924,0.26851851851851855,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.28703703703703703,0.3055555555555556,0.2962962962962963,0.3148148148148148,0.26851851851851855,0.2777777777777778,0.28703703703703703,0.2777777777777778,0.2777777777777778,0.26851851851851855,0.26851851851851855,0.28703703703703703,0.26851851851851855,0.28703703703703703,0.28703703703703703,0.3055555555555556,0.25925925925925924,0.3148148148148148,0.28703703703703703,0.2777777777777778,0.28703703703703703,0.25925925925925924,0.25,0.25,0.23148148148148148,0.25,0.25925925925925924,0.25,0.26851851851851855,0.23148148148148148,0.25,0.25,0.23148148148148148,0.25925925925925924,0.25,0.23148148148148148,0.25,0.24074074074074073,0.26851851851851855,0.25,0.23148148148148148,0.24074074074074073,0.25,0.23148148148148148,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.23148148148148148,0.25,0.24074074074074073,0.2640335648148148
Business Ethics (Avg: 0.262),0.27,0.32,0.29,0.3,0.3,0.3,0.29,0.28,0.31,0.3,0.3,0.29,0.32,0.32,0.3,0.32,0.31,0.3,0.31,0.29,0.28,0.27,0.29,0.31,0.32,0.29,0.31,0.3,0.33,0.28,0.3,0.27,0.29,0.25,0.21,0.24,0.23,0.23,0.25,0.25,0.22,0.23,0.21,0.22,0.22,0.24,0.21,0.23,0.2,0.24,0.22,0.21,0.24,0.2,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.22,0.21,0.22,0.26156250000000003
Moral Scenarios (Avg: 0.258),0.23798882681564246,0.23687150837988827,0.23798882681564246,0.2346368715083799,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.23575418994413408,0.23798882681564246,0.23798882681564246,0.23798882681564246,0.2346368715083799,0.23798882681564246,0.24022346368715083,0.23798882681564246,0.23575418994413408,0.2446927374301676,0.23687150837988827,0.23687150837988827,0.2324022346368715,0.22681564245810057,0.26256983240223464,0.23910614525139665,0.24916201117318434,0.23575418994413408,0.2435754189944134,0.2659217877094972,0.2659217877094972,0.23575418994413408,0.26145251396648045,0.24692737430167597,0.2659217877094972,0.2759776536312849,0.28156424581005585,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.2737430167597765,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.2737430167597765,0.2737430167597765,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.27262569832402234,0.25761173184357544
High School Us History (Avg: 0.256),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2549019607843137,0.25,0.25,0.25,0.2549019607843137,0.25,0.2549019607843137,0.25,0.24509803921568626,0.2696078431372549,0.2549019607843137,0.2647058823529412,0.25980392156862747,0.27450980392156865,0.2696078431372549,0.2647058823529412,0.25980392156862747,0.2549019607843137,0.25,0.2647058823529412,0.25,0.25,0.25980392156862747,0.24509803921568626,0.2647058823529412,0.24509803921568626,0.25980392156862747,0.24019607843137256,0.2696078431372549,0.25980392156862747,0.2696078431372549,0.2696078431372549,0.24019607843137256,0.25,0.24509803921568626,0.2647058823529412,0.2549019607843137,0.25,0.27450980392156865,0.24509803921568626,0.2696078431372549,0.24509803921568626,0.27450980392156865,0.24509803921568626,0.2647058823529412,0.25980392156862747,0.25980392156862747,0.27941176470588236,0.2549019607843137,0.25980392156862747,0.23529411764705882,0.2696078431372549,0.23039215686274508,0.2555147058823529
High School Microeconomics (Avg: 0.255),0.21008403361344538,0.21428571428571427,0.21428571428571427,0.21008403361344538,0.21008403361344538,0.21008403361344538,0.21008403361344538,0.22268907563025211,0.2184873949579832,0.21008403361344538,0.2184873949579832,0.21008403361344538,0.22268907563025211,0.21008403361344538,0.23109243697478993,0.20168067226890757,0.23949579831932774,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.23109243697478993,0.21008403361344538,0.22268907563025211,0.19747899159663865,0.22268907563025211,0.22268907563025211,0.21428571428571427,0.2184873949579832,0.20588235294117646,0.23109243697478993,0.2605042016806723,0.2184873949579832,0.23529411764705882,0.25210084033613445,0.2689075630252101,0.2689075630252101,0.27310924369747897,0.24369747899159663,0.28991596638655465,0.25630252100840334,0.28991596638655465,0.29831932773109243,0.31932773109243695,0.29411764705882354,0.28991596638655465,0.27310924369747897,0.2605042016806723,0.29831932773109243,0.3067226890756303,0.29831932773109243,0.3067226890756303,0.3235294117647059,0.29831932773109243,0.31512605042016806,0.3235294117647059,0.3235294117647059,0.29831932773109243,0.31092436974789917,0.3445378151260504,0.31092436974789917,0.33613445378151263,0.3025210084033613,0.3277310924369748,0.25492384453781514
